"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"108145" "Spectrum00169.asd" 325 0.03
"108146" "Spectrum00169.asd" 326 0.042
"108147" "Spectrum00169.asd" 327 0.036
"108148" "Spectrum00169.asd" 328 0.027
"108149" "Spectrum00169.asd" 329 0.037
"108150" "Spectrum00169.asd" 330 0.045
"108151" "Spectrum00169.asd" 331 0.045
"108152" "Spectrum00169.asd" 332 0.038
"108153" "Spectrum00169.asd" 333 0.029
"108154" "Spectrum00169.asd" 334 0.026
"108155" "Spectrum00169.asd" 335 0.031
"108156" "Spectrum00169.asd" 336 0.04
"108157" "Spectrum00169.asd" 337 0.039
"108158" "Spectrum00169.asd" 338 0.039
"108159" "Spectrum00169.asd" 339 0.041
"108160" "Spectrum00169.asd" 340 0.029
"108161" "Spectrum00169.asd" 341 0.023
"108162" "Spectrum00169.asd" 342 0.041
"108163" "Spectrum00169.asd" 343 0.038
"108164" "Spectrum00169.asd" 344 0.021
"108165" "Spectrum00169.asd" 345 0.032
"108166" "Spectrum00169.asd" 346 0.038
"108167" "Spectrum00169.asd" 347 0.029
"108168" "Spectrum00169.asd" 348 0.031
"108169" "Spectrum00169.asd" 349 0.034
"108170" "Spectrum00169.asd" 350 0.025
"108171" "Spectrum00169.asd" 351 0.025
"108172" "Spectrum00169.asd" 352 0.034
"108173" "Spectrum00169.asd" 353 0.033
"108174" "Spectrum00169.asd" 354 0.034
"108175" "Spectrum00169.asd" 355 0.042
"108176" "Spectrum00169.asd" 356 0.033
"108177" "Spectrum00169.asd" 357 0.019
"108178" "Spectrum00169.asd" 358 0.025
"108179" "Spectrum00169.asd" 359 0.03
"108180" "Spectrum00169.asd" 360 0.027
"108181" "Spectrum00169.asd" 361 0.018
"108182" "Spectrum00169.asd" 362 0.012
"108183" "Spectrum00169.asd" 363 0.016
"108184" "Spectrum00169.asd" 364 0.02
"108185" "Spectrum00169.asd" 365 0.022
"108186" "Spectrum00169.asd" 366 0.021
"108187" "Spectrum00169.asd" 367 0.021
"108188" "Spectrum00169.asd" 368 0.021
"108189" "Spectrum00169.asd" 369 0.022
"108190" "Spectrum00169.asd" 370 0.022
"108191" "Spectrum00169.asd" 371 0.018
"108192" "Spectrum00169.asd" 372 0.015
"108193" "Spectrum00169.asd" 373 0.014
"108194" "Spectrum00169.asd" 374 0.015
"108195" "Spectrum00169.asd" 375 0.017
"108196" "Spectrum00169.asd" 376 0.02
"108197" "Spectrum00169.asd" 377 0.02
"108198" "Spectrum00169.asd" 378 0.018
"108199" "Spectrum00169.asd" 379 0.016
"108200" "Spectrum00169.asd" 380 0.014
"108201" "Spectrum00169.asd" 381 0.015
"108202" "Spectrum00169.asd" 382 0.014
"108203" "Spectrum00169.asd" 383 0.014
"108204" "Spectrum00169.asd" 384 0.018
"108205" "Spectrum00169.asd" 385 0.018
"108206" "Spectrum00169.asd" 386 0.015
"108207" "Spectrum00169.asd" 387 0.016
"108208" "Spectrum00169.asd" 388 0.017
"108209" "Spectrum00169.asd" 389 0.015
"108210" "Spectrum00169.asd" 390 0.016
"108211" "Spectrum00169.asd" 391 0.018
"108212" "Spectrum00169.asd" 392 0.017
"108213" "Spectrum00169.asd" 393 0.016
"108214" "Spectrum00169.asd" 394 0.015
"108215" "Spectrum00169.asd" 395 0.012
"108216" "Spectrum00169.asd" 396 0.013
"108217" "Spectrum00169.asd" 397 0.017
"108218" "Spectrum00169.asd" 398 0.015
"108219" "Spectrum00169.asd" 399 0.011
"108220" "Spectrum00169.asd" 400 0.012
"108221" "Spectrum00169.asd" 401 0.012
"108222" "Spectrum00169.asd" 402 0.009
"108223" "Spectrum00169.asd" 403 0.009
"108224" "Spectrum00169.asd" 404 0.009
"108225" "Spectrum00169.asd" 405 0.009
"108226" "Spectrum00169.asd" 406 0.009
"108227" "Spectrum00169.asd" 407 0.01
"108228" "Spectrum00169.asd" 408 0.009
"108229" "Spectrum00169.asd" 409 0.009
"108230" "Spectrum00169.asd" 410 0.011
"108231" "Spectrum00169.asd" 411 0.011
"108232" "Spectrum00169.asd" 412 0.012
"108233" "Spectrum00169.asd" 413 0.013
"108234" "Spectrum00169.asd" 414 0.014
"108235" "Spectrum00169.asd" 415 0.014
"108236" "Spectrum00169.asd" 416 0.015
"108237" "Spectrum00169.asd" 417 0.015
"108238" "Spectrum00169.asd" 418 0.011
"108239" "Spectrum00169.asd" 419 0.011
"108240" "Spectrum00169.asd" 420 0.014
"108241" "Spectrum00169.asd" 421 0.012
"108242" "Spectrum00169.asd" 422 0.012
"108243" "Spectrum00169.asd" 423 0.015
"108244" "Spectrum00169.asd" 424 0.014
"108245" "Spectrum00169.asd" 425 0.013
"108246" "Spectrum00169.asd" 426 0.011
"108247" "Spectrum00169.asd" 427 0.011
"108248" "Spectrum00169.asd" 428 0.012
"108249" "Spectrum00169.asd" 429 0.013
"108250" "Spectrum00169.asd" 430 0.013
"108251" "Spectrum00169.asd" 431 0.013
"108252" "Spectrum00169.asd" 432 0.012
"108253" "Spectrum00169.asd" 433 0.011
"108254" "Spectrum00169.asd" 434 0.012
"108255" "Spectrum00169.asd" 435 0.013
"108256" "Spectrum00169.asd" 436 0.013
"108257" "Spectrum00169.asd" 437 0.012
"108258" "Spectrum00169.asd" 438 0.011
"108259" "Spectrum00169.asd" 439 0.012
"108260" "Spectrum00169.asd" 440 0.012
"108261" "Spectrum00169.asd" 441 0.01
"108262" "Spectrum00169.asd" 442 0.011
"108263" "Spectrum00169.asd" 443 0.011
"108264" "Spectrum00169.asd" 444 0.011
"108265" "Spectrum00169.asd" 445 0.012
"108266" "Spectrum00169.asd" 446 0.012
"108267" "Spectrum00169.asd" 447 0.011
"108268" "Spectrum00169.asd" 448 0.012
"108269" "Spectrum00169.asd" 449 0.014
"108270" "Spectrum00169.asd" 450 0.012
