"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"121663" "Spectrum00193.asd" 325 0.044
"121664" "Spectrum00193.asd" 326 0.049
"121665" "Spectrum00193.asd" 327 0.04
"121666" "Spectrum00193.asd" 328 0.03
"121667" "Spectrum00193.asd" 329 0.038
"121668" "Spectrum00193.asd" 330 0.042
"121669" "Spectrum00193.asd" 331 0.038
"121670" "Spectrum00193.asd" 332 0.032
"121671" "Spectrum00193.asd" 333 0.033
"121672" "Spectrum00193.asd" 334 0.044
"121673" "Spectrum00193.asd" 335 0.042
"121674" "Spectrum00193.asd" 336 0.034
"121675" "Spectrum00193.asd" 337 0.033
"121676" "Spectrum00193.asd" 338 0.033
"121677" "Spectrum00193.asd" 339 0.034
"121678" "Spectrum00193.asd" 340 0.035
"121679" "Spectrum00193.asd" 341 0.038
"121680" "Spectrum00193.asd" 342 0.044
"121681" "Spectrum00193.asd" 343 0.035
"121682" "Spectrum00193.asd" 344 0.022
"121683" "Spectrum00193.asd" 345 0.043
"121684" "Spectrum00193.asd" 346 0.057
"121685" "Spectrum00193.asd" 347 0.048
"121686" "Spectrum00193.asd" 348 0.046
"121687" "Spectrum00193.asd" 349 0.046
"121688" "Spectrum00193.asd" 350 0.04
"121689" "Spectrum00193.asd" 351 0.033
"121690" "Spectrum00193.asd" 352 0.03
"121691" "Spectrum00193.asd" 353 0.03
"121692" "Spectrum00193.asd" 354 0.037
"121693" "Spectrum00193.asd" 355 0.049
"121694" "Spectrum00193.asd" 356 0.039
"121695" "Spectrum00193.asd" 357 0.022
"121696" "Spectrum00193.asd" 358 0.026
"121697" "Spectrum00193.asd" 359 0.035
"121698" "Spectrum00193.asd" 360 0.041
"121699" "Spectrum00193.asd" 361 0.028
"121700" "Spectrum00193.asd" 362 0.018
"121701" "Spectrum00193.asd" 363 0.023
"121702" "Spectrum00193.asd" 364 0.026
"121703" "Spectrum00193.asd" 365 0.025
"121704" "Spectrum00193.asd" 366 0.025
"121705" "Spectrum00193.asd" 367 0.025
"121706" "Spectrum00193.asd" 368 0.023
"121707" "Spectrum00193.asd" 369 0.026
"121708" "Spectrum00193.asd" 370 0.025
"121709" "Spectrum00193.asd" 371 0.017
"121710" "Spectrum00193.asd" 372 0.014
"121711" "Spectrum00193.asd" 373 0.016
"121712" "Spectrum00193.asd" 374 0.018
"121713" "Spectrum00193.asd" 375 0.02
"121714" "Spectrum00193.asd" 376 0.023
"121715" "Spectrum00193.asd" 377 0.024
"121716" "Spectrum00193.asd" 378 0.022
"121717" "Spectrum00193.asd" 379 0.022
"121718" "Spectrum00193.asd" 380 0.021
"121719" "Spectrum00193.asd" 381 0.021
"121720" "Spectrum00193.asd" 382 0.019
"121721" "Spectrum00193.asd" 383 0.018
"121722" "Spectrum00193.asd" 384 0.021
"121723" "Spectrum00193.asd" 385 0.023
"121724" "Spectrum00193.asd" 386 0.022
"121725" "Spectrum00193.asd" 387 0.02
"121726" "Spectrum00193.asd" 388 0.019
"121727" "Spectrum00193.asd" 389 0.021
"121728" "Spectrum00193.asd" 390 0.019
"121729" "Spectrum00193.asd" 391 0.018
"121730" "Spectrum00193.asd" 392 0.023
"121731" "Spectrum00193.asd" 393 0.022
"121732" "Spectrum00193.asd" 394 0.017
"121733" "Spectrum00193.asd" 395 0.017
"121734" "Spectrum00193.asd" 396 0.019
"121735" "Spectrum00193.asd" 397 0.019
"121736" "Spectrum00193.asd" 398 0.018
"121737" "Spectrum00193.asd" 399 0.017
"121738" "Spectrum00193.asd" 400 0.02
"121739" "Spectrum00193.asd" 401 0.021
"121740" "Spectrum00193.asd" 402 0.02
"121741" "Spectrum00193.asd" 403 0.02
"121742" "Spectrum00193.asd" 404 0.019
"121743" "Spectrum00193.asd" 405 0.015
"121744" "Spectrum00193.asd" 406 0.016
"121745" "Spectrum00193.asd" 407 0.02
"121746" "Spectrum00193.asd" 408 0.017
"121747" "Spectrum00193.asd" 409 0.016
"121748" "Spectrum00193.asd" 410 0.019
"121749" "Spectrum00193.asd" 411 0.019
"121750" "Spectrum00193.asd" 412 0.019
"121751" "Spectrum00193.asd" 413 0.023
"121752" "Spectrum00193.asd" 414 0.024
"121753" "Spectrum00193.asd" 415 0.022
"121754" "Spectrum00193.asd" 416 0.024
"121755" "Spectrum00193.asd" 417 0.024
"121756" "Spectrum00193.asd" 418 0.02
"121757" "Spectrum00193.asd" 419 0.021
"121758" "Spectrum00193.asd" 420 0.024
"121759" "Spectrum00193.asd" 421 0.023
"121760" "Spectrum00193.asd" 422 0.024
"121761" "Spectrum00193.asd" 423 0.027
"121762" "Spectrum00193.asd" 424 0.026
"121763" "Spectrum00193.asd" 425 0.024
"121764" "Spectrum00193.asd" 426 0.023
"121765" "Spectrum00193.asd" 427 0.023
"121766" "Spectrum00193.asd" 428 0.023
"121767" "Spectrum00193.asd" 429 0.022
"121768" "Spectrum00193.asd" 430 0.024
"121769" "Spectrum00193.asd" 431 0.028
"121770" "Spectrum00193.asd" 432 0.027
"121771" "Spectrum00193.asd" 433 0.025
"121772" "Spectrum00193.asd" 434 0.025
"121773" "Spectrum00193.asd" 435 0.025
"121774" "Spectrum00193.asd" 436 0.024
"121775" "Spectrum00193.asd" 437 0.024
"121776" "Spectrum00193.asd" 438 0.025
"121777" "Spectrum00193.asd" 439 0.026
"121778" "Spectrum00193.asd" 440 0.025
"121779" "Spectrum00193.asd" 441 0.024
"121780" "Spectrum00193.asd" 442 0.027
"121781" "Spectrum00193.asd" 443 0.028
"121782" "Spectrum00193.asd" 444 0.027
"121783" "Spectrum00193.asd" 445 0.026
"121784" "Spectrum00193.asd" 446 0.027
"121785" "Spectrum00193.asd" 447 0.027
"121786" "Spectrum00193.asd" 448 0.027
"121787" "Spectrum00193.asd" 449 0.028
"121788" "Spectrum00193.asd" 450 0.026
"121789" "Spectrum00193.asd" 451 0.025
"121790" "Spectrum00193.asd" 452 0.026
"121791" "Spectrum00193.asd" 453 0.027
"121792" "Spectrum00193.asd" 454 0.027
"121793" "Spectrum00193.asd" 455 0.029
"121794" "Spectrum00193.asd" 456 0.029
"121795" "Spectrum00193.asd" 457 0.028
"121796" "Spectrum00193.asd" 458 0.027
"121797" "Spectrum00193.asd" 459 0.027
"121798" "Spectrum00193.asd" 460 0.027
"121799" "Spectrum00193.asd" 461 0.027
"121800" "Spectrum00193.asd" 462 0.027
"121801" "Spectrum00193.asd" 463 0.028
"121802" "Spectrum00193.asd" 464 0.028
"121803" "Spectrum00193.asd" 465 0.029
"121804" "Spectrum00193.asd" 466 0.029
"121805" "Spectrum00193.asd" 467 0.029
"121806" "Spectrum00193.asd" 468 0.028
"121807" "Spectrum00193.asd" 469 0.028
"121808" "Spectrum00193.asd" 470 0.028
"121809" "Spectrum00193.asd" 471 0.028
"121810" "Spectrum00193.asd" 472 0.028
"121811" "Spectrum00193.asd" 473 0.028
"121812" "Spectrum00193.asd" 474 0.028
"121813" "Spectrum00193.asd" 475 0.028
