"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"29290" "Spectrum00040.asd" 325 0.007
"29291" "Spectrum00040.asd" 326 0.022
"29292" "Spectrum00040.asd" 327 0.028
"29293" "Spectrum00040.asd" 328 0.028
"29294" "Spectrum00040.asd" 329 0.025
"29295" "Spectrum00040.asd" 330 0.026
"29296" "Spectrum00040.asd" 331 0.029
"29297" "Spectrum00040.asd" 332 0.016
"29298" "Spectrum00040.asd" 333 0.009
"29299" "Spectrum00040.asd" 334 0.019
"29300" "Spectrum00040.asd" 335 0.031
"29301" "Spectrum00040.asd" 336 0.038
"29302" "Spectrum00040.asd" 337 0.034
"29303" "Spectrum00040.asd" 338 0.026
"29304" "Spectrum00040.asd" 339 0.018
"29305" "Spectrum00040.asd" 340 0.016
"29306" "Spectrum00040.asd" 341 0.018
"29307" "Spectrum00040.asd" 342 0.021
"29308" "Spectrum00040.asd" 343 0.02
"29309" "Spectrum00040.asd" 344 0.017
"29310" "Spectrum00040.asd" 345 0.022
"29311" "Spectrum00040.asd" 346 0.027
"29312" "Spectrum00040.asd" 347 0.026
"29313" "Spectrum00040.asd" 348 0.024
"29314" "Spectrum00040.asd" 349 0.019
"29315" "Spectrum00040.asd" 350 0.012
"29316" "Spectrum00040.asd" 351 0.008
"29317" "Spectrum00040.asd" 352 0.009
"29318" "Spectrum00040.asd" 353 0.009
"29319" "Spectrum00040.asd" 354 0.017
"29320" "Spectrum00040.asd" 355 0.034
"29321" "Spectrum00040.asd" 356 0.027
"29322" "Spectrum00040.asd" 357 0.012
"29323" "Spectrum00040.asd" 358 0.017
"29324" "Spectrum00040.asd" 359 0.017
"29325" "Spectrum00040.asd" 360 0.01
"29326" "Spectrum00040.asd" 361 0.013
"29327" "Spectrum00040.asd" 362 0.017
"29328" "Spectrum00040.asd" 363 0.013
"29329" "Spectrum00040.asd" 364 0.016
"29330" "Spectrum00040.asd" 365 0.023
"29331" "Spectrum00040.asd" 366 0.019
"29332" "Spectrum00040.asd" 367 0.015
"29333" "Spectrum00040.asd" 368 0.016
"29334" "Spectrum00040.asd" 369 0.019
"29335" "Spectrum00040.asd" 370 0.02
"29336" "Spectrum00040.asd" 371 0.016
"29337" "Spectrum00040.asd" 372 0.01
"29338" "Spectrum00040.asd" 373 0.006
"29339" "Spectrum00040.asd" 374 0.01
"29340" "Spectrum00040.asd" 375 0.016
"29341" "Spectrum00040.asd" 376 0.019
"29342" "Spectrum00040.asd" 377 0.018
"29343" "Spectrum00040.asd" 378 0.015
"29344" "Spectrum00040.asd" 379 0.017
"29345" "Spectrum00040.asd" 380 0.018
"29346" "Spectrum00040.asd" 381 0.015
"29347" "Spectrum00040.asd" 382 0.015
"29348" "Spectrum00040.asd" 383 0.016
"29349" "Spectrum00040.asd" 384 0.017
"29350" "Spectrum00040.asd" 385 0.017
"29351" "Spectrum00040.asd" 386 0.017
"29352" "Spectrum00040.asd" 387 0.017
"29353" "Spectrum00040.asd" 388 0.016
"29354" "Spectrum00040.asd" 389 0.015
"29355" "Spectrum00040.asd" 390 0.014
"29356" "Spectrum00040.asd" 391 0.016
"29357" "Spectrum00040.asd" 392 0.017
"29358" "Spectrum00040.asd" 393 0.019
"29359" "Spectrum00040.asd" 394 0.019
"29360" "Spectrum00040.asd" 395 0.015
"29361" "Spectrum00040.asd" 396 0.015
"29362" "Spectrum00040.asd" 397 0.022
"29363" "Spectrum00040.asd" 398 0.021
"29364" "Spectrum00040.asd" 399 0.016
"29365" "Spectrum00040.asd" 400 0.017
"29366" "Spectrum00040.asd" 401 0.019
"29367" "Spectrum00040.asd" 402 0.019
"29368" "Spectrum00040.asd" 403 0.019
"29369" "Spectrum00040.asd" 404 0.017
"29370" "Spectrum00040.asd" 405 0.015
"29371" "Spectrum00040.asd" 406 0.016
"29372" "Spectrum00040.asd" 407 0.019
"29373" "Spectrum00040.asd" 408 0.018
"29374" "Spectrum00040.asd" 409 0.018
"29375" "Spectrum00040.asd" 410 0.018
"29376" "Spectrum00040.asd" 411 0.018
"29377" "Spectrum00040.asd" 412 0.019
"29378" "Spectrum00040.asd" 413 0.022
"29379" "Spectrum00040.asd" 414 0.024
"29380" "Spectrum00040.asd" 415 0.024
"29381" "Spectrum00040.asd" 416 0.024
"29382" "Spectrum00040.asd" 417 0.022
"29383" "Spectrum00040.asd" 418 0.02
"29384" "Spectrum00040.asd" 419 0.02
"29385" "Spectrum00040.asd" 420 0.022
"29386" "Spectrum00040.asd" 421 0.024
"29387" "Spectrum00040.asd" 422 0.025
"29388" "Spectrum00040.asd" 423 0.026
"29389" "Spectrum00040.asd" 424 0.025
"29390" "Spectrum00040.asd" 425 0.023
"29391" "Spectrum00040.asd" 426 0.022
"29392" "Spectrum00040.asd" 427 0.022
"29393" "Spectrum00040.asd" 428 0.023
"29394" "Spectrum00040.asd" 429 0.023
"29395" "Spectrum00040.asd" 430 0.025
"29396" "Spectrum00040.asd" 431 0.027
"29397" "Spectrum00040.asd" 432 0.027
"29398" "Spectrum00040.asd" 433 0.027
"29399" "Spectrum00040.asd" 434 0.027
"29400" "Spectrum00040.asd" 435 0.026
"29401" "Spectrum00040.asd" 436 0.025
"29402" "Spectrum00040.asd" 437 0.026
"29403" "Spectrum00040.asd" 438 0.028
"29404" "Spectrum00040.asd" 439 0.028
"29405" "Spectrum00040.asd" 440 0.027
"29406" "Spectrum00040.asd" 441 0.026
"29407" "Spectrum00040.asd" 442 0.027
"29408" "Spectrum00040.asd" 443 0.028
"29409" "Spectrum00040.asd" 444 0.029
"29410" "Spectrum00040.asd" 445 0.029
"29411" "Spectrum00040.asd" 446 0.028
"29412" "Spectrum00040.asd" 447 0.028
"29413" "Spectrum00040.asd" 448 0.028
"29414" "Spectrum00040.asd" 449 0.029
"29415" "Spectrum00040.asd" 450 0.03
"29416" "Spectrum00040.asd" 451 0.03
"29417" "Spectrum00040.asd" 452 0.029
"29418" "Spectrum00040.asd" 453 0.03
"29419" "Spectrum00040.asd" 454 0.032
"29420" "Spectrum00040.asd" 455 0.033
"29421" "Spectrum00040.asd" 456 0.033
"29422" "Spectrum00040.asd" 457 0.032
"29423" "Spectrum00040.asd" 458 0.032
"29424" "Spectrum00040.asd" 459 0.031
"29425" "Spectrum00040.asd" 460 0.031
"29426" "Spectrum00040.asd" 461 0.031
"29427" "Spectrum00040.asd" 462 0.032
"29428" "Spectrum00040.asd" 463 0.032
"29429" "Spectrum00040.asd" 464 0.032
"29430" "Spectrum00040.asd" 465 0.032
"29431" "Spectrum00040.asd" 466 0.032
"29432" "Spectrum00040.asd" 467 0.032
"29433" "Spectrum00040.asd" 468 0.032
"29434" "Spectrum00040.asd" 469 0.031
"29435" "Spectrum00040.asd" 470 0.031
"29436" "Spectrum00040.asd" 471 0.032
"29437" "Spectrum00040.asd" 472 0.033
"29438" "Spectrum00040.asd" 473 0.032
"29439" "Spectrum00040.asd" 474 0.032
"29440" "Spectrum00040.asd" 475 0.033
"29441" "Spectrum00040.asd" 476 0.033
"29442" "Spectrum00040.asd" 477 0.033
"29443" "Spectrum00040.asd" 478 0.033
"29444" "Spectrum00040.asd" 479 0.033
"29445" "Spectrum00040.asd" 480 0.034
"29446" "Spectrum00040.asd" 481 0.034
"29447" "Spectrum00040.asd" 482 0.035
"29448" "Spectrum00040.asd" 483 0.035
"29449" "Spectrum00040.asd" 484 0.033
"29450" "Spectrum00040.asd" 485 0.033
"29451" "Spectrum00040.asd" 486 0.033
"29452" "Spectrum00040.asd" 487 0.034
"29453" "Spectrum00040.asd" 488 0.034
"29454" "Spectrum00040.asd" 489 0.036
"29455" "Spectrum00040.asd" 490 0.036
"29456" "Spectrum00040.asd" 491 0.034
"29457" "Spectrum00040.asd" 492 0.035
"29458" "Spectrum00040.asd" 493 0.035
"29459" "Spectrum00040.asd" 494 0.034
"29460" "Spectrum00040.asd" 495 0.035
"29461" "Spectrum00040.asd" 496 0.036
"29462" "Spectrum00040.asd" 497 0.037
"29463" "Spectrum00040.asd" 498 0.037
"29464" "Spectrum00040.asd" 499 0.038
"29465" "Spectrum00040.asd" 500 0.038
"29466" "Spectrum00040.asd" 501 0.039
