"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"93125" "Spectrum00143.asd" 325 0.041
"93126" "Spectrum00143.asd" 326 0.027
"93127" "Spectrum00143.asd" 327 0.031
"93128" "Spectrum00143.asd" 328 0.039
"93129" "Spectrum00143.asd" 329 0.036
"93130" "Spectrum00143.asd" 330 0.035
"93131" "Spectrum00143.asd" 331 0.034
"93132" "Spectrum00143.asd" 332 0.021
"93133" "Spectrum00143.asd" 333 0.014
"93134" "Spectrum00143.asd" 334 0.025
"93135" "Spectrum00143.asd" 335 0.03
"93136" "Spectrum00143.asd" 336 0.031
"93137" "Spectrum00143.asd" 337 0.034
"93138" "Spectrum00143.asd" 338 0.035
"93139" "Spectrum00143.asd" 339 0.032
"93140" "Spectrum00143.asd" 340 0.024
"93141" "Spectrum00143.asd" 341 0.018
"93142" "Spectrum00143.asd" 342 0.02
"93143" "Spectrum00143.asd" 343 0.016
"93144" "Spectrum00143.asd" 344 0.012
"93145" "Spectrum00143.asd" 345 0.029
"93146" "Spectrum00143.asd" 346 0.042
"93147" "Spectrum00143.asd" 347 0.041
"93148" "Spectrum00143.asd" 348 0.034
"93149" "Spectrum00143.asd" 349 0.025
"93150" "Spectrum00143.asd" 350 0.016
"93151" "Spectrum00143.asd" 351 0.012
"93152" "Spectrum00143.asd" 352 0.016
"93153" "Spectrum00143.asd" 353 0.022
"93154" "Spectrum00143.asd" 354 0.029
"93155" "Spectrum00143.asd" 355 0.034
"93156" "Spectrum00143.asd" 356 0.028
"93157" "Spectrum00143.asd" 357 0.021
"93158" "Spectrum00143.asd" 358 0.027
"93159" "Spectrum00143.asd" 359 0.032
"93160" "Spectrum00143.asd" 360 0.029
"93161" "Spectrum00143.asd" 361 0.019
"93162" "Spectrum00143.asd" 362 0.014
"93163" "Spectrum00143.asd" 363 0.021
"93164" "Spectrum00143.asd" 364 0.023
"93165" "Spectrum00143.asd" 365 0.019
"93166" "Spectrum00143.asd" 366 0.019
"93167" "Spectrum00143.asd" 367 0.018
"93168" "Spectrum00143.asd" 368 0.016
"93169" "Spectrum00143.asd" 369 0.018
"93170" "Spectrum00143.asd" 370 0.018
"93171" "Spectrum00143.asd" 371 0.011
"93172" "Spectrum00143.asd" 372 0.009
"93173" "Spectrum00143.asd" 373 0.012
"93174" "Spectrum00143.asd" 374 0.016
"93175" "Spectrum00143.asd" 375 0.018
"93176" "Spectrum00143.asd" 376 0.017
"93177" "Spectrum00143.asd" 377 0.016
"93178" "Spectrum00143.asd" 378 0.016
"93179" "Spectrum00143.asd" 379 0.017
"93180" "Spectrum00143.asd" 380 0.015
"93181" "Spectrum00143.asd" 381 0.012
"93182" "Spectrum00143.asd" 382 0.013
"93183" "Spectrum00143.asd" 383 0.016
"93184" "Spectrum00143.asd" 384 0.017
"93185" "Spectrum00143.asd" 385 0.017
"93186" "Spectrum00143.asd" 386 0.018
"93187" "Spectrum00143.asd" 387 0.016
"93188" "Spectrum00143.asd" 388 0.015
"93189" "Spectrum00143.asd" 389 0.017
"93190" "Spectrum00143.asd" 390 0.018
"93191" "Spectrum00143.asd" 391 0.017
"93192" "Spectrum00143.asd" 392 0.017
"93193" "Spectrum00143.asd" 393 0.017
"93194" "Spectrum00143.asd" 394 0.017
"93195" "Spectrum00143.asd" 395 0.018
"93196" "Spectrum00143.asd" 396 0.019
"93197" "Spectrum00143.asd" 397 0.019
"93198" "Spectrum00143.asd" 398 0.017
"93199" "Spectrum00143.asd" 399 0.014
"93200" "Spectrum00143.asd" 400 0.013
"93201" "Spectrum00143.asd" 401 0.013
"93202" "Spectrum00143.asd" 402 0.012
"93203" "Spectrum00143.asd" 403 0.014
"93204" "Spectrum00143.asd" 404 0.015
"93205" "Spectrum00143.asd" 405 0.013
"93206" "Spectrum00143.asd" 406 0.013
"93207" "Spectrum00143.asd" 407 0.015
"93208" "Spectrum00143.asd" 408 0.015
"93209" "Spectrum00143.asd" 409 0.013
"93210" "Spectrum00143.asd" 410 0.013
"93211" "Spectrum00143.asd" 411 0.012
"93212" "Spectrum00143.asd" 412 0.013
"93213" "Spectrum00143.asd" 413 0.016
"93214" "Spectrum00143.asd" 414 0.017
"93215" "Spectrum00143.asd" 415 0.017
"93216" "Spectrum00143.asd" 416 0.018
"93217" "Spectrum00143.asd" 417 0.017
"93218" "Spectrum00143.asd" 418 0.014
"93219" "Spectrum00143.asd" 419 0.015
"93220" "Spectrum00143.asd" 420 0.019
"93221" "Spectrum00143.asd" 421 0.017
"93222" "Spectrum00143.asd" 422 0.017
"93223" "Spectrum00143.asd" 423 0.019
"93224" "Spectrum00143.asd" 424 0.018
"93225" "Spectrum00143.asd" 425 0.015
"93226" "Spectrum00143.asd" 426 0.015
"93227" "Spectrum00143.asd" 427 0.016
"93228" "Spectrum00143.asd" 428 0.016
"93229" "Spectrum00143.asd" 429 0.017
"93230" "Spectrum00143.asd" 430 0.018
"93231" "Spectrum00143.asd" 431 0.019
"93232" "Spectrum00143.asd" 432 0.018
"93233" "Spectrum00143.asd" 433 0.017
"93234" "Spectrum00143.asd" 434 0.016
"93235" "Spectrum00143.asd" 435 0.016
"93236" "Spectrum00143.asd" 436 0.016
"93237" "Spectrum00143.asd" 437 0.019
"93238" "Spectrum00143.asd" 438 0.02
"93239" "Spectrum00143.asd" 439 0.019
"93240" "Spectrum00143.asd" 440 0.018
"93241" "Spectrum00143.asd" 441 0.018
"93242" "Spectrum00143.asd" 442 0.018
"93243" "Spectrum00143.asd" 443 0.018
"93244" "Spectrum00143.asd" 444 0.017
"93245" "Spectrum00143.asd" 445 0.018
"93246" "Spectrum00143.asd" 446 0.019
"93247" "Spectrum00143.asd" 447 0.019
"93248" "Spectrum00143.asd" 448 0.019
"93249" "Spectrum00143.asd" 449 0.019
"93250" "Spectrum00143.asd" 450 0.019
"93251" "Spectrum00143.asd" 451 0.018
"93252" "Spectrum00143.asd" 452 0.018
"93253" "Spectrum00143.asd" 453 0.019
"93254" "Spectrum00143.asd" 454 0.021
"93255" "Spectrum00143.asd" 455 0.022
"93256" "Spectrum00143.asd" 456 0.022
"93257" "Spectrum00143.asd" 457 0.021
"93258" "Spectrum00143.asd" 458 0.02
"93259" "Spectrum00143.asd" 459 0.019
"93260" "Spectrum00143.asd" 460 0.019
"93261" "Spectrum00143.asd" 461 0.019
"93262" "Spectrum00143.asd" 462 0.019
"93263" "Spectrum00143.asd" 463 0.019
"93264" "Spectrum00143.asd" 464 0.02
"93265" "Spectrum00143.asd" 465 0.021
"93266" "Spectrum00143.asd" 466 0.021
"93267" "Spectrum00143.asd" 467 0.02
"93268" "Spectrum00143.asd" 468 0.02
"93269" "Spectrum00143.asd" 469 0.02
"93270" "Spectrum00143.asd" 470 0.019
"93271" "Spectrum00143.asd" 471 0.021
"93272" "Spectrum00143.asd" 472 0.021
"93273" "Spectrum00143.asd" 473 0.02
"93274" "Spectrum00143.asd" 474 0.02
"93275" "Spectrum00143.asd" 475 0.02
"93276" "Spectrum00143.asd" 476 0.021
"93277" "Spectrum00143.asd" 477 0.021
"93278" "Spectrum00143.asd" 478 0.021
"93279" "Spectrum00143.asd" 479 0.02
"93280" "Spectrum00143.asd" 480 0.02
"93281" "Spectrum00143.asd" 481 0.021
"93282" "Spectrum00143.asd" 482 0.022
"93283" "Spectrum00143.asd" 483 0.021
"93284" "Spectrum00143.asd" 484 0.021
"93285" "Spectrum00143.asd" 485 0.021
"93286" "Spectrum00143.asd" 486 0.022
"93287" "Spectrum00143.asd" 487 0.022
"93288" "Spectrum00143.asd" 488 0.021
"93289" "Spectrum00143.asd" 489 0.022
"93290" "Spectrum00143.asd" 490 0.022
"93291" "Spectrum00143.asd" 491 0.021
"93292" "Spectrum00143.asd" 492 0.022
"93293" "Spectrum00143.asd" 493 0.023
"93294" "Spectrum00143.asd" 494 0.023
"93295" "Spectrum00143.asd" 495 0.023
"93296" "Spectrum00143.asd" 496 0.023
"93297" "Spectrum00143.asd" 497 0.024
"93298" "Spectrum00143.asd" 498 0.024
"93299" "Spectrum00143.asd" 499 0.024
"93300" "Spectrum00143.asd" 500 0.024
"93301" "Spectrum00143.asd" 501 0.024
"93302" "Spectrum00143.asd" 502 0.025
"93303" "Spectrum00143.asd" 503 0.026
"93304" "Spectrum00143.asd" 504 0.028
"93305" "Spectrum00143.asd" 505 0.029
"93306" "Spectrum00143.asd" 506 0.029
"93307" "Spectrum00143.asd" 507 0.029
"93308" "Spectrum00143.asd" 508 0.032
"93309" "Spectrum00143.asd" 509 0.035
"93310" "Spectrum00143.asd" 510 0.034
"93311" "Spectrum00143.asd" 511 0.034
"93312" "Spectrum00143.asd" 512 0.035
"93313" "Spectrum00143.asd" 513 0.037
"93314" "Spectrum00143.asd" 514 0.039
"93315" "Spectrum00143.asd" 515 0.04
"93316" "Spectrum00143.asd" 516 0.041
"93317" "Spectrum00143.asd" 517 0.042
"93318" "Spectrum00143.asd" 518 0.045
"93319" "Spectrum00143.asd" 519 0.048
"93320" "Spectrum00143.asd" 520 0.049
"93321" "Spectrum00143.asd" 521 0.051
"93322" "Spectrum00143.asd" 522 0.052
"93323" "Spectrum00143.asd" 523 0.052
"93324" "Spectrum00143.asd" 524 0.054
"93325" "Spectrum00143.asd" 525 0.057
"93326" "Spectrum00143.asd" 526 0.059
"93327" "Spectrum00143.asd" 527 0.061
"93328" "Spectrum00143.asd" 528 0.063
"93329" "Spectrum00143.asd" 529 0.064
"93330" "Spectrum00143.asd" 530 0.065
"93331" "Spectrum00143.asd" 531 0.066
"93332" "Spectrum00143.asd" 532 0.066
"93333" "Spectrum00143.asd" 533 0.068
"93334" "Spectrum00143.asd" 534 0.069
"93335" "Spectrum00143.asd" 535 0.07
"93336" "Spectrum00143.asd" 536 0.069
"93337" "Spectrum00143.asd" 537 0.07
"93338" "Spectrum00143.asd" 538 0.071
"93339" "Spectrum00143.asd" 539 0.074
"93340" "Spectrum00143.asd" 540 0.075
"93341" "Spectrum00143.asd" 541 0.073
"93342" "Spectrum00143.asd" 542 0.074
"93343" "Spectrum00143.asd" 543 0.074
"93344" "Spectrum00143.asd" 544 0.072
"93345" "Spectrum00143.asd" 545 0.073
"93346" "Spectrum00143.asd" 546 0.076
"93347" "Spectrum00143.asd" 547 0.077
"93348" "Spectrum00143.asd" 548 0.077
"93349" "Spectrum00143.asd" 549 0.077
"93350" "Spectrum00143.asd" 550 0.078
"93351" "Spectrum00143.asd" 551 0.078
"93352" "Spectrum00143.asd" 552 0.077
"93353" "Spectrum00143.asd" 553 0.076
"93354" "Spectrum00143.asd" 554 0.077
"93355" "Spectrum00143.asd" 555 0.077
"93356" "Spectrum00143.asd" 556 0.077
"93357" "Spectrum00143.asd" 557 0.078
"93358" "Spectrum00143.asd" 558 0.078
"93359" "Spectrum00143.asd" 559 0.077
"93360" "Spectrum00143.asd" 560 0.076
"93361" "Spectrum00143.asd" 561 0.076
"93362" "Spectrum00143.asd" 562 0.076
"93363" "Spectrum00143.asd" 563 0.075
"93364" "Spectrum00143.asd" 564 0.073
"93365" "Spectrum00143.asd" 565 0.073
"93366" "Spectrum00143.asd" 566 0.071
"93367" "Spectrum00143.asd" 567 0.07
"93368" "Spectrum00143.asd" 568 0.068
"93369" "Spectrum00143.asd" 569 0.067
"93370" "Spectrum00143.asd" 570 0.067
"93371" "Spectrum00143.asd" 571 0.067
"93372" "Spectrum00143.asd" 572 0.066
"93373" "Spectrum00143.asd" 573 0.065
"93374" "Spectrum00143.asd" 574 0.064
"93375" "Spectrum00143.asd" 575 0.063
"93376" "Spectrum00143.asd" 576 0.061
"93377" "Spectrum00143.asd" 577 0.061
"93378" "Spectrum00143.asd" 578 0.06
"93379" "Spectrum00143.asd" 579 0.06
"93380" "Spectrum00143.asd" 580 0.059
"93381" "Spectrum00143.asd" 581 0.058
"93382" "Spectrum00143.asd" 582 0.057
"93383" "Spectrum00143.asd" 583 0.057
"93384" "Spectrum00143.asd" 584 0.056
"93385" "Spectrum00143.asd" 585 0.055
"93386" "Spectrum00143.asd" 586 0.054
"93387" "Spectrum00143.asd" 587 0.054
"93388" "Spectrum00143.asd" 588 0.054
"93389" "Spectrum00143.asd" 589 0.053
"93390" "Spectrum00143.asd" 590 0.053
"93391" "Spectrum00143.asd" 591 0.054
"93392" "Spectrum00143.asd" 592 0.054
"93393" "Spectrum00143.asd" 593 0.052
"93394" "Spectrum00143.asd" 594 0.053
"93395" "Spectrum00143.asd" 595 0.053
