"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"100635" "Spectrum00156.asd" 325 0.032
"100636" "Spectrum00156.asd" 326 0.044
"100637" "Spectrum00156.asd" 327 0.035
"100638" "Spectrum00156.asd" 328 0.024
"100639" "Spectrum00156.asd" 329 0.031
"100640" "Spectrum00156.asd" 330 0.034
"100641" "Spectrum00156.asd" 331 0.029
"100642" "Spectrum00156.asd" 332 0.022
"100643" "Spectrum00156.asd" 333 0.021
"100644" "Spectrum00156.asd" 334 0.032
"100645" "Spectrum00156.asd" 335 0.036
"100646" "Spectrum00156.asd" 336 0.035
"100647" "Spectrum00156.asd" 337 0.034
"100648" "Spectrum00156.asd" 338 0.03
"100649" "Spectrum00156.asd" 339 0.025
"100650" "Spectrum00156.asd" 340 0.02
"100651" "Spectrum00156.asd" 341 0.019
"100652" "Spectrum00156.asd" 342 0.023
"100653" "Spectrum00156.asd" 343 0.021
"100654" "Spectrum00156.asd" 344 0.018
"100655" "Spectrum00156.asd" 345 0.039
"100656" "Spectrum00156.asd" 346 0.049
"100657" "Spectrum00156.asd" 347 0.038
"100658" "Spectrum00156.asd" 348 0.032
"100659" "Spectrum00156.asd" 349 0.028
"100660" "Spectrum00156.asd" 350 0.023
"100661" "Spectrum00156.asd" 351 0.022
"100662" "Spectrum00156.asd" 352 0.024
"100663" "Spectrum00156.asd" 353 0.025
"100664" "Spectrum00156.asd" 354 0.029
"100665" "Spectrum00156.asd" 355 0.038
"100666" "Spectrum00156.asd" 356 0.027
"100667" "Spectrum00156.asd" 357 0.012
"100668" "Spectrum00156.asd" 358 0.015
"100669" "Spectrum00156.asd" 359 0.023
"100670" "Spectrum00156.asd" 360 0.027
"100671" "Spectrum00156.asd" 361 0.022
"100672" "Spectrum00156.asd" 362 0.013
"100673" "Spectrum00156.asd" 363 0.009
"100674" "Spectrum00156.asd" 364 0.013
"100675" "Spectrum00156.asd" 365 0.021
"100676" "Spectrum00156.asd" 366 0.023
"100677" "Spectrum00156.asd" 367 0.023
"100678" "Spectrum00156.asd" 368 0.021
"100679" "Spectrum00156.asd" 369 0.024
"100680" "Spectrum00156.asd" 370 0.023
"100681" "Spectrum00156.asd" 371 0.012
