"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"27788" "Spectrum00038.asd" 325 0.027
"27789" "Spectrum00038.asd" 326 0.039
"27790" "Spectrum00038.asd" 327 0.027
"27791" "Spectrum00038.asd" 328 0.014
"27792" "Spectrum00038.asd" 329 0.028
"27793" "Spectrum00038.asd" 330 0.039
"27794" "Spectrum00038.asd" 331 0.041
"27795" "Spectrum00038.asd" 332 0.037
"27796" "Spectrum00038.asd" 333 0.031
"27797" "Spectrum00038.asd" 334 0.028
"27798" "Spectrum00038.asd" 335 0.03
"27799" "Spectrum00038.asd" 336 0.035
"27800" "Spectrum00038.asd" 337 0.042
"27801" "Spectrum00038.asd" 338 0.037
"27802" "Spectrum00038.asd" 339 0.023
"27803" "Spectrum00038.asd" 340 0.026
"27804" "Spectrum00038.asd" 341 0.033
"27805" "Spectrum00038.asd" 342 0.033
"27806" "Spectrum00038.asd" 343 0.03
"27807" "Spectrum00038.asd" 344 0.03
"27808" "Spectrum00038.asd" 345 0.038
"27809" "Spectrum00038.asd" 346 0.041
"27810" "Spectrum00038.asd" 347 0.034
"27811" "Spectrum00038.asd" 348 0.036
"27812" "Spectrum00038.asd" 349 0.037
"27813" "Spectrum00038.asd" 350 0.024
"27814" "Spectrum00038.asd" 351 0.017
"27815" "Spectrum00038.asd" 352 0.019
"27816" "Spectrum00038.asd" 353 0.021
"27817" "Spectrum00038.asd" 354 0.028
"27818" "Spectrum00038.asd" 355 0.041
"27819" "Spectrum00038.asd" 356 0.033
"27820" "Spectrum00038.asd" 357 0.018
"27821" "Spectrum00038.asd" 358 0.023
"27822" "Spectrum00038.asd" 359 0.03
"27823" "Spectrum00038.asd" 360 0.032
"27824" "Spectrum00038.asd" 361 0.025
"27825" "Spectrum00038.asd" 362 0.02
"27826" "Spectrum00038.asd" 363 0.025
"27827" "Spectrum00038.asd" 364 0.031
"27828" "Spectrum00038.asd" 365 0.037
"27829" "Spectrum00038.asd" 366 0.036
"27830" "Spectrum00038.asd" 367 0.033
"27831" "Spectrum00038.asd" 368 0.029
"27832" "Spectrum00038.asd" 369 0.031
"27833" "Spectrum00038.asd" 370 0.033
"27834" "Spectrum00038.asd" 371 0.024
"27835" "Spectrum00038.asd" 372 0.02
"27836" "Spectrum00038.asd" 373 0.021
"27837" "Spectrum00038.asd" 374 0.025
"27838" "Spectrum00038.asd" 375 0.03
"27839" "Spectrum00038.asd" 376 0.035
"27840" "Spectrum00038.asd" 377 0.033
"27841" "Spectrum00038.asd" 378 0.028
"27842" "Spectrum00038.asd" 379 0.026
"27843" "Spectrum00038.asd" 380 0.025
"27844" "Spectrum00038.asd" 381 0.025
