"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"51069" "Spectrum00078.asd" 325 0.025
"51070" "Spectrum00078.asd" 326 0.024
"51071" "Spectrum00078.asd" 327 0.031
"51072" "Spectrum00078.asd" 328 0.04
"51073" "Spectrum00078.asd" 329 0.044
"51074" "Spectrum00078.asd" 330 0.04
"51075" "Spectrum00078.asd" 331 0.029
"51076" "Spectrum00078.asd" 332 0.024
"51077" "Spectrum00078.asd" 333 0.02
"51078" "Spectrum00078.asd" 334 0.018
"51079" "Spectrum00078.asd" 335 0.029
"51080" "Spectrum00078.asd" 336 0.041
"51081" "Spectrum00078.asd" 337 0.035
"51082" "Spectrum00078.asd" 338 0.027
"51083" "Spectrum00078.asd" 339 0.022
"51084" "Spectrum00078.asd" 340 0.021
"51085" "Spectrum00078.asd" 341 0.024
"51086" "Spectrum00078.asd" 342 0.028
"51087" "Spectrum00078.asd" 343 0.021
"51088" "Spectrum00078.asd" 344 0.014
"51089" "Spectrum00078.asd" 345 0.037
"51090" "Spectrum00078.asd" 346 0.047
"51091" "Spectrum00078.asd" 347 0.032
"51092" "Spectrum00078.asd" 348 0.031
"51093" "Spectrum00078.asd" 349 0.033
"51094" "Spectrum00078.asd" 350 0.022
"51095" "Spectrum00078.asd" 351 0.016
"51096" "Spectrum00078.asd" 352 0.017
"51097" "Spectrum00078.asd" 353 0.017
"51098" "Spectrum00078.asd" 354 0.024
"51099" "Spectrum00078.asd" 355 0.041
"51100" "Spectrum00078.asd" 356 0.034
"51101" "Spectrum00078.asd" 357 0.016
"51102" "Spectrum00078.asd" 358 0.018
"51103" "Spectrum00078.asd" 359 0.024
"51104" "Spectrum00078.asd" 360 0.029
"51105" "Spectrum00078.asd" 361 0.023
"51106" "Spectrum00078.asd" 362 0.018
"51107" "Spectrum00078.asd" 363 0.024
"51108" "Spectrum00078.asd" 364 0.027
"51109" "Spectrum00078.asd" 365 0.028
"51110" "Spectrum00078.asd" 366 0.027
"51111" "Spectrum00078.asd" 367 0.027
"51112" "Spectrum00078.asd" 368 0.027
"51113" "Spectrum00078.asd" 369 0.026
"51114" "Spectrum00078.asd" 370 0.023
"51115" "Spectrum00078.asd" 371 0.018
"51116" "Spectrum00078.asd" 372 0.015
"51117" "Spectrum00078.asd" 373 0.013
"51118" "Spectrum00078.asd" 374 0.014
"51119" "Spectrum00078.asd" 375 0.016
"51120" "Spectrum00078.asd" 376 0.018
"51121" "Spectrum00078.asd" 377 0.021
"51122" "Spectrum00078.asd" 378 0.024
"51123" "Spectrum00078.asd" 379 0.024
"51124" "Spectrum00078.asd" 380 0.021
"51125" "Spectrum00078.asd" 381 0.017
"51126" "Spectrum00078.asd" 382 0.019
"51127" "Spectrum00078.asd" 383 0.021
"51128" "Spectrum00078.asd" 384 0.019
"51129" "Spectrum00078.asd" 385 0.019
"51130" "Spectrum00078.asd" 386 0.021
"51131" "Spectrum00078.asd" 387 0.02
"51132" "Spectrum00078.asd" 388 0.017
"51133" "Spectrum00078.asd" 389 0.015
"51134" "Spectrum00078.asd" 390 0.018
"51135" "Spectrum00078.asd" 391 0.021
"51136" "Spectrum00078.asd" 392 0.02
"51137" "Spectrum00078.asd" 393 0.016
"51138" "Spectrum00078.asd" 394 0.012
"51139" "Spectrum00078.asd" 395 0.016
"51140" "Spectrum00078.asd" 396 0.019
"51141" "Spectrum00078.asd" 397 0.017
"51142" "Spectrum00078.asd" 398 0.015
"51143" "Spectrum00078.asd" 399 0.014
"51144" "Spectrum00078.asd" 400 0.017
"51145" "Spectrum00078.asd" 401 0.017
"51146" "Spectrum00078.asd" 402 0.016
"51147" "Spectrum00078.asd" 403 0.017
"51148" "Spectrum00078.asd" 404 0.018
"51149" "Spectrum00078.asd" 405 0.014
"51150" "Spectrum00078.asd" 406 0.014
"51151" "Spectrum00078.asd" 407 0.018
"51152" "Spectrum00078.asd" 408 0.016
"51153" "Spectrum00078.asd" 409 0.014
"51154" "Spectrum00078.asd" 410 0.016
"51155" "Spectrum00078.asd" 411 0.016
"51156" "Spectrum00078.asd" 412 0.016
"51157" "Spectrum00078.asd" 413 0.02
"51158" "Spectrum00078.asd" 414 0.021
"51159" "Spectrum00078.asd" 415 0.019
"51160" "Spectrum00078.asd" 416 0.02
"51161" "Spectrum00078.asd" 417 0.02
"51162" "Spectrum00078.asd" 418 0.018
"51163" "Spectrum00078.asd" 419 0.019
"51164" "Spectrum00078.asd" 420 0.02
"51165" "Spectrum00078.asd" 421 0.021
"51166" "Spectrum00078.asd" 422 0.021
"51167" "Spectrum00078.asd" 423 0.02
"51168" "Spectrum00078.asd" 424 0.02
"51169" "Spectrum00078.asd" 425 0.02
"51170" "Spectrum00078.asd" 426 0.019
"51171" "Spectrum00078.asd" 427 0.019
"51172" "Spectrum00078.asd" 428 0.019
"51173" "Spectrum00078.asd" 429 0.018
"51174" "Spectrum00078.asd" 430 0.019
"51175" "Spectrum00078.asd" 431 0.023
"51176" "Spectrum00078.asd" 432 0.023
"51177" "Spectrum00078.asd" 433 0.021
"51178" "Spectrum00078.asd" 434 0.02
"51179" "Spectrum00078.asd" 435 0.02
"51180" "Spectrum00078.asd" 436 0.021
"51181" "Spectrum00078.asd" 437 0.02
"51182" "Spectrum00078.asd" 438 0.02
"51183" "Spectrum00078.asd" 439 0.021
"51184" "Spectrum00078.asd" 440 0.02
"51185" "Spectrum00078.asd" 441 0.018
"51186" "Spectrum00078.asd" 442 0.019
"51187" "Spectrum00078.asd" 443 0.02
"51188" "Spectrum00078.asd" 444 0.021
"51189" "Spectrum00078.asd" 445 0.022
"51190" "Spectrum00078.asd" 446 0.022
"51191" "Spectrum00078.asd" 447 0.022
"51192" "Spectrum00078.asd" 448 0.023
"51193" "Spectrum00078.asd" 449 0.023
"51194" "Spectrum00078.asd" 450 0.022
"51195" "Spectrum00078.asd" 451 0.02
"51196" "Spectrum00078.asd" 452 0.021
"51197" "Spectrum00078.asd" 453 0.022
"51198" "Spectrum00078.asd" 454 0.023
"51199" "Spectrum00078.asd" 455 0.024
"51200" "Spectrum00078.asd" 456 0.024
"51201" "Spectrum00078.asd" 457 0.022
"51202" "Spectrum00078.asd" 458 0.022
"51203" "Spectrum00078.asd" 459 0.022
"51204" "Spectrum00078.asd" 460 0.023
"51205" "Spectrum00078.asd" 461 0.022
"51206" "Spectrum00078.asd" 462 0.022
"51207" "Spectrum00078.asd" 463 0.023
"51208" "Spectrum00078.asd" 464 0.023
"51209" "Spectrum00078.asd" 465 0.023
"51210" "Spectrum00078.asd" 466 0.023
"51211" "Spectrum00078.asd" 467 0.023
"51212" "Spectrum00078.asd" 468 0.023
"51213" "Spectrum00078.asd" 469 0.022
"51214" "Spectrum00078.asd" 470 0.022
"51215" "Spectrum00078.asd" 471 0.023
"51216" "Spectrum00078.asd" 472 0.023
"51217" "Spectrum00078.asd" 473 0.022
"51218" "Spectrum00078.asd" 474 0.022
"51219" "Spectrum00078.asd" 475 0.023
"51220" "Spectrum00078.asd" 476 0.022
"51221" "Spectrum00078.asd" 477 0.022
"51222" "Spectrum00078.asd" 478 0.022
"51223" "Spectrum00078.asd" 479 0.024
"51224" "Spectrum00078.asd" 480 0.024
"51225" "Spectrum00078.asd" 481 0.024
"51226" "Spectrum00078.asd" 482 0.024
"51227" "Spectrum00078.asd" 483 0.025
"51228" "Spectrum00078.asd" 484 0.024
"51229" "Spectrum00078.asd" 485 0.023
"51230" "Spectrum00078.asd" 486 0.024
"51231" "Spectrum00078.asd" 487 0.024
"51232" "Spectrum00078.asd" 488 0.024
"51233" "Spectrum00078.asd" 489 0.024
"51234" "Spectrum00078.asd" 490 0.023
"51235" "Spectrum00078.asd" 491 0.022
"51236" "Spectrum00078.asd" 492 0.024
"51237" "Spectrum00078.asd" 493 0.026
"51238" "Spectrum00078.asd" 494 0.025
"51239" "Spectrum00078.asd" 495 0.025
"51240" "Spectrum00078.asd" 496 0.026
"51241" "Spectrum00078.asd" 497 0.026
"51242" "Spectrum00078.asd" 498 0.026
"51243" "Spectrum00078.asd" 499 0.027
"51244" "Spectrum00078.asd" 500 0.028
"51245" "Spectrum00078.asd" 501 0.03
"51246" "Spectrum00078.asd" 502 0.029
"51247" "Spectrum00078.asd" 503 0.029
"51248" "Spectrum00078.asd" 504 0.03
