"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"126169" "Spectrum00202.asd" 325 0.044
"126170" "Spectrum00202.asd" 326 0.04
"126171" "Spectrum00202.asd" 327 0.041
"126172" "Spectrum00202.asd" 328 0.045
"126173" "Spectrum00202.asd" 329 0.051
"126174" "Spectrum00202.asd" 330 0.047
"126175" "Spectrum00202.asd" 331 0.037
"126176" "Spectrum00202.asd" 332 0.032
"126177" "Spectrum00202.asd" 333 0.033
"126178" "Spectrum00202.asd" 334 0.038
"126179" "Spectrum00202.asd" 335 0.043
"126180" "Spectrum00202.asd" 336 0.045
"126181" "Spectrum00202.asd" 337 0.036
"126182" "Spectrum00202.asd" 338 0.033
"126183" "Spectrum00202.asd" 339 0.04
"126184" "Spectrum00202.asd" 340 0.035
"126185" "Spectrum00202.asd" 341 0.031
"126186" "Spectrum00202.asd" 342 0.039
"126187" "Spectrum00202.asd" 343 0.041
"126188" "Spectrum00202.asd" 344 0.038
"126189" "Spectrum00202.asd" 345 0.047
"126190" "Spectrum00202.asd" 346 0.047
"126191" "Spectrum00202.asd" 347 0.035
"126192" "Spectrum00202.asd" 348 0.035
"126193" "Spectrum00202.asd" 349 0.04
"126194" "Spectrum00202.asd" 350 0.038
"126195" "Spectrum00202.asd" 351 0.031
"126196" "Spectrum00202.asd" 352 0.023
"126197" "Spectrum00202.asd" 353 0.029
"126198" "Spectrum00202.asd" 354 0.038
"126199" "Spectrum00202.asd" 355 0.042
"126200" "Spectrum00202.asd" 356 0.037
"126201" "Spectrum00202.asd" 357 0.029
"126202" "Spectrum00202.asd" 358 0.033
"126203" "Spectrum00202.asd" 359 0.035
"126204" "Spectrum00202.asd" 360 0.033
"126205" "Spectrum00202.asd" 361 0.021
"126206" "Spectrum00202.asd" 362 0.015
"126207" "Spectrum00202.asd" 363 0.025
"126208" "Spectrum00202.asd" 364 0.033
"126209" "Spectrum00202.asd" 365 0.035
"126210" "Spectrum00202.asd" 366 0.027
"126211" "Spectrum00202.asd" 367 0.023
"126212" "Spectrum00202.asd" 368 0.027
"126213" "Spectrum00202.asd" 369 0.029
"126214" "Spectrum00202.asd" 370 0.029
"126215" "Spectrum00202.asd" 371 0.025
"126216" "Spectrum00202.asd" 372 0.016
"126217" "Spectrum00202.asd" 373 0.007
"126218" "Spectrum00202.asd" 374 0.012
"126219" "Spectrum00202.asd" 375 0.019
"126220" "Spectrum00202.asd" 376 0.021
"126221" "Spectrum00202.asd" 377 0.022
"126222" "Spectrum00202.asd" 378 0.022
"126223" "Spectrum00202.asd" 379 0.02
"126224" "Spectrum00202.asd" 380 0.019
"126225" "Spectrum00202.asd" 381 0.02
"126226" "Spectrum00202.asd" 382 0.019
"126227" "Spectrum00202.asd" 383 0.02
"126228" "Spectrum00202.asd" 384 0.024
"126229" "Spectrum00202.asd" 385 0.024
"126230" "Spectrum00202.asd" 386 0.021
"126231" "Spectrum00202.asd" 387 0.018
"126232" "Spectrum00202.asd" 388 0.018
"126233" "Spectrum00202.asd" 389 0.023
"126234" "Spectrum00202.asd" 390 0.022
"126235" "Spectrum00202.asd" 391 0.019
"126236" "Spectrum00202.asd" 392 0.023
"126237" "Spectrum00202.asd" 393 0.025
"126238" "Spectrum00202.asd" 394 0.022
"126239" "Spectrum00202.asd" 395 0.02
"126240" "Spectrum00202.asd" 396 0.019
"126241" "Spectrum00202.asd" 397 0.018
"126242" "Spectrum00202.asd" 398 0.016
"126243" "Spectrum00202.asd" 399 0.014
"126244" "Spectrum00202.asd" 400 0.017
"126245" "Spectrum00202.asd" 401 0.018
"126246" "Spectrum00202.asd" 402 0.016
"126247" "Spectrum00202.asd" 403 0.016
"126248" "Spectrum00202.asd" 404 0.016
"126249" "Spectrum00202.asd" 405 0.016
"126250" "Spectrum00202.asd" 406 0.018
"126251" "Spectrum00202.asd" 407 0.02
"126252" "Spectrum00202.asd" 408 0.018
"126253" "Spectrum00202.asd" 409 0.016
"126254" "Spectrum00202.asd" 410 0.017
"126255" "Spectrum00202.asd" 411 0.019
"126256" "Spectrum00202.asd" 412 0.019
"126257" "Spectrum00202.asd" 413 0.019
"126258" "Spectrum00202.asd" 414 0.02
"126259" "Spectrum00202.asd" 415 0.021
"126260" "Spectrum00202.asd" 416 0.022
