"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"133679" "Spectrum00215.asd" 325 0.033
"133680" "Spectrum00215.asd" 326 0.039
"133681" "Spectrum00215.asd" 327 0.05
"133682" "Spectrum00215.asd" 328 0.059
"133683" "Spectrum00215.asd" 329 0.062
"133684" "Spectrum00215.asd" 330 0.054
"133685" "Spectrum00215.asd" 331 0.038
"133686" "Spectrum00215.asd" 332 0.032
"133687" "Spectrum00215.asd" 333 0.032
"133688" "Spectrum00215.asd" 334 0.034
"133689" "Spectrum00215.asd" 335 0.035
"133690" "Spectrum00215.asd" 336 0.037
"133691" "Spectrum00215.asd" 337 0.053
"133692" "Spectrum00215.asd" 338 0.053
"133693" "Spectrum00215.asd" 339 0.035
"133694" "Spectrum00215.asd" 340 0.036
"133695" "Spectrum00215.asd" 341 0.04
"133696" "Spectrum00215.asd" 342 0.034
"133697" "Spectrum00215.asd" 343 0.034
"133698" "Spectrum00215.asd" 344 0.039
"133699" "Spectrum00215.asd" 345 0.049
"133700" "Spectrum00215.asd" 346 0.052
"133701" "Spectrum00215.asd" 347 0.046
"133702" "Spectrum00215.asd" 348 0.039
"133703" "Spectrum00215.asd" 349 0.034
"133704" "Spectrum00215.asd" 350 0.032
"133705" "Spectrum00215.asd" 351 0.03
"133706" "Spectrum00215.asd" 352 0.027
"133707" "Spectrum00215.asd" 353 0.028
"133708" "Spectrum00215.asd" 354 0.037
"133709" "Spectrum00215.asd" 355 0.052
"133710" "Spectrum00215.asd" 356 0.044
"133711" "Spectrum00215.asd" 357 0.028
"133712" "Spectrum00215.asd" 358 0.036
"133713" "Spectrum00215.asd" 359 0.041
"133714" "Spectrum00215.asd" 360 0.036
"133715" "Spectrum00215.asd" 361 0.028
"133716" "Spectrum00215.asd" 362 0.024
"133717" "Spectrum00215.asd" 363 0.028
"133718" "Spectrum00215.asd" 364 0.031
"133719" "Spectrum00215.asd" 365 0.032
"133720" "Spectrum00215.asd" 366 0.03
"133721" "Spectrum00215.asd" 367 0.029
"133722" "Spectrum00215.asd" 368 0.03
"133723" "Spectrum00215.asd" 369 0.03
"133724" "Spectrum00215.asd" 370 0.029
"133725" "Spectrum00215.asd" 371 0.028
"133726" "Spectrum00215.asd" 372 0.026
"133727" "Spectrum00215.asd" 373 0.024
"133728" "Spectrum00215.asd" 374 0.025
"133729" "Spectrum00215.asd" 375 0.028
"133730" "Spectrum00215.asd" 376 0.033
"133731" "Spectrum00215.asd" 377 0.032
"133732" "Spectrum00215.asd" 378 0.027
"133733" "Spectrum00215.asd" 379 0.027
"133734" "Spectrum00215.asd" 380 0.026
"133735" "Spectrum00215.asd" 381 0.022
"133736" "Spectrum00215.asd" 382 0.023
"133737" "Spectrum00215.asd" 383 0.026
"133738" "Spectrum00215.asd" 384 0.027
"133739" "Spectrum00215.asd" 385 0.027
"133740" "Spectrum00215.asd" 386 0.028
"133741" "Spectrum00215.asd" 387 0.027
"133742" "Spectrum00215.asd" 388 0.026
"133743" "Spectrum00215.asd" 389 0.025
"133744" "Spectrum00215.asd" 390 0.025
"133745" "Spectrum00215.asd" 391 0.026
"133746" "Spectrum00215.asd" 392 0.026
"133747" "Spectrum00215.asd" 393 0.026
"133748" "Spectrum00215.asd" 394 0.025
"133749" "Spectrum00215.asd" 395 0.025
"133750" "Spectrum00215.asd" 396 0.025
"133751" "Spectrum00215.asd" 397 0.025
"133752" "Spectrum00215.asd" 398 0.022
"133753" "Spectrum00215.asd" 399 0.019
"133754" "Spectrum00215.asd" 400 0.02
"133755" "Spectrum00215.asd" 401 0.022
"133756" "Spectrum00215.asd" 402 0.023
"133757" "Spectrum00215.asd" 403 0.023
"133758" "Spectrum00215.asd" 404 0.023
"133759" "Spectrum00215.asd" 405 0.021
"133760" "Spectrum00215.asd" 406 0.022
"133761" "Spectrum00215.asd" 407 0.025
"133762" "Spectrum00215.asd" 408 0.023
"133763" "Spectrum00215.asd" 409 0.021
"133764" "Spectrum00215.asd" 410 0.022
"133765" "Spectrum00215.asd" 411 0.022
"133766" "Spectrum00215.asd" 412 0.023
"133767" "Spectrum00215.asd" 413 0.024
"133768" "Spectrum00215.asd" 414 0.025
"133769" "Spectrum00215.asd" 415 0.026
"133770" "Spectrum00215.asd" 416 0.027
"133771" "Spectrum00215.asd" 417 0.025
"133772" "Spectrum00215.asd" 418 0.023
"133773" "Spectrum00215.asd" 419 0.025
"133774" "Spectrum00215.asd" 420 0.029
"133775" "Spectrum00215.asd" 421 0.027
"133776" "Spectrum00215.asd" 422 0.026
"133777" "Spectrum00215.asd" 423 0.029
