"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"10515" "Spectrum00014.asd" 325 0.01
"10516" "Spectrum00014.asd" 326 0.014
"10517" "Spectrum00014.asd" 327 0.015
"10518" "Spectrum00014.asd" 328 0.016
"10519" "Spectrum00014.asd" 329 0.016
"10520" "Spectrum00014.asd" 330 0.019
"10521" "Spectrum00014.asd" 331 0.023
"10522" "Spectrum00014.asd" 332 0.019
"10523" "Spectrum00014.asd" 333 0.016
"10524" "Spectrum00014.asd" 334 0.022
"10525" "Spectrum00014.asd" 335 0.024
"10526" "Spectrum00014.asd" 336 0.026
"10527" "Spectrum00014.asd" 337 0.032
"10528" "Spectrum00014.asd" 338 0.027
"10529" "Spectrum00014.asd" 339 0.012
"10530" "Spectrum00014.asd" 340 0.011
"10531" "Spectrum00014.asd" 341 0.017
"10532" "Spectrum00014.asd" 342 0.018
"10533" "Spectrum00014.asd" 343 0.013
"10534" "Spectrum00014.asd" 344 0.008
"10535" "Spectrum00014.asd" 345 0.015
"10536" "Spectrum00014.asd" 346 0.018
"10537" "Spectrum00014.asd" 347 0.013
"10538" "Spectrum00014.asd" 348 0.016
"10539" "Spectrum00014.asd" 349 0.021
"10540" "Spectrum00014.asd" 350 0.016
"10541" "Spectrum00014.asd" 351 0.011
"10542" "Spectrum00014.asd" 352 0.01
"10543" "Spectrum00014.asd" 353 0.008
"10544" "Spectrum00014.asd" 354 0.013
"10545" "Spectrum00014.asd" 355 0.024
"10546" "Spectrum00014.asd" 356 0.018
"10547" "Spectrum00014.asd" 357 0.005
"10548" "Spectrum00014.asd" 358 0.011
"10549" "Spectrum00014.asd" 359 0.018
"10550" "Spectrum00014.asd" 360 0.018
"10551" "Spectrum00014.asd" 361 0.011
"10552" "Spectrum00014.asd" 362 0.006
"10553" "Spectrum00014.asd" 363 0.012
"10554" "Spectrum00014.asd" 364 0.019
"10555" "Spectrum00014.asd" 365 0.023
"10556" "Spectrum00014.asd" 366 0.021
"10557" "Spectrum00014.asd" 367 0.019
"10558" "Spectrum00014.asd" 368 0.016
"10559" "Spectrum00014.asd" 369 0.017
