"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"99884" "Spectrum00155.asd" 325 0.033
"99885" "Spectrum00155.asd" 326 0.046
"99886" "Spectrum00155.asd" 327 0.039
"99887" "Spectrum00155.asd" 328 0.027
"99888" "Spectrum00155.asd" 329 0.031
"99889" "Spectrum00155.asd" 330 0.034
"99890" "Spectrum00155.asd" 331 0.031
"99891" "Spectrum00155.asd" 332 0.024
"99892" "Spectrum00155.asd" 333 0.021
"99893" "Spectrum00155.asd" 334 0.027
"99894" "Spectrum00155.asd" 335 0.034
"99895" "Spectrum00155.asd" 336 0.038
"99896" "Spectrum00155.asd" 337 0.038
"99897" "Spectrum00155.asd" 338 0.036
"99898" "Spectrum00155.asd" 339 0.032
"99899" "Spectrum00155.asd" 340 0.024
"99900" "Spectrum00155.asd" 341 0.021
"99901" "Spectrum00155.asd" 342 0.028
"99902" "Spectrum00155.asd" 343 0.025
"99903" "Spectrum00155.asd" 344 0.018
"99904" "Spectrum00155.asd" 345 0.031
"99905" "Spectrum00155.asd" 346 0.041
"99906" "Spectrum00155.asd" 347 0.039
"99907" "Spectrum00155.asd" 348 0.035
"99908" "Spectrum00155.asd" 349 0.03
"99909" "Spectrum00155.asd" 350 0.021
"99910" "Spectrum00155.asd" 351 0.018
"99911" "Spectrum00155.asd" 352 0.022
"99912" "Spectrum00155.asd" 353 0.021
"99913" "Spectrum00155.asd" 354 0.026
"99914" "Spectrum00155.asd" 355 0.04
"99915" "Spectrum00155.asd" 356 0.038
"99916" "Spectrum00155.asd" 357 0.026
"99917" "Spectrum00155.asd" 358 0.02
"99918" "Spectrum00155.asd" 359 0.021
"99919" "Spectrum00155.asd" 360 0.026
"99920" "Spectrum00155.asd" 361 0.024
"99921" "Spectrum00155.asd" 362 0.02
"99922" "Spectrum00155.asd" 363 0.021
"99923" "Spectrum00155.asd" 364 0.025
"99924" "Spectrum00155.asd" 365 0.027
"99925" "Spectrum00155.asd" 366 0.021
"99926" "Spectrum00155.asd" 367 0.016
"99927" "Spectrum00155.asd" 368 0.017
"99928" "Spectrum00155.asd" 369 0.02
"99929" "Spectrum00155.asd" 370 0.019
"99930" "Spectrum00155.asd" 371 0.009
"99931" "Spectrum00155.asd" 372 0.006
"99932" "Spectrum00155.asd" 373 0.012
"99933" "Spectrum00155.asd" 374 0.014
"99934" "Spectrum00155.asd" 375 0.016
"99935" "Spectrum00155.asd" 376 0.019
"99936" "Spectrum00155.asd" 377 0.016
"99937" "Spectrum00155.asd" 378 0.011
"99938" "Spectrum00155.asd" 379 0.015
"99939" "Spectrum00155.asd" 380 0.016
"99940" "Spectrum00155.asd" 381 0.012
"99941" "Spectrum00155.asd" 382 0.013
"99942" "Spectrum00155.asd" 383 0.014
"99943" "Spectrum00155.asd" 384 0.012
"99944" "Spectrum00155.asd" 385 0.014
"99945" "Spectrum00155.asd" 386 0.018
"99946" "Spectrum00155.asd" 387 0.014
"99947" "Spectrum00155.asd" 388 0.014
"99948" "Spectrum00155.asd" 389 0.018
"99949" "Spectrum00155.asd" 390 0.018
"99950" "Spectrum00155.asd" 391 0.016
"99951" "Spectrum00155.asd" 392 0.014
"99952" "Spectrum00155.asd" 393 0.016
"99953" "Spectrum00155.asd" 394 0.018
"99954" "Spectrum00155.asd" 395 0.015
"99955" "Spectrum00155.asd" 396 0.011
"99956" "Spectrum00155.asd" 397 0.011
"99957" "Spectrum00155.asd" 398 0.01
"99958" "Spectrum00155.asd" 399 0.009
"99959" "Spectrum00155.asd" 400 0.01
"99960" "Spectrum00155.asd" 401 0.012
"99961" "Spectrum00155.asd" 402 0.014
"99962" "Spectrum00155.asd" 403 0.014
"99963" "Spectrum00155.asd" 404 0.012
"99964" "Spectrum00155.asd" 405 0.009
"99965" "Spectrum00155.asd" 406 0.01
"99966" "Spectrum00155.asd" 407 0.013
"99967" "Spectrum00155.asd" 408 0.009
"99968" "Spectrum00155.asd" 409 0.007
"99969" "Spectrum00155.asd" 410 0.011
"99970" "Spectrum00155.asd" 411 0.011
"99971" "Spectrum00155.asd" 412 0.011
"99972" "Spectrum00155.asd" 413 0.015
"99973" "Spectrum00155.asd" 414 0.016
"99974" "Spectrum00155.asd" 415 0.015
"99975" "Spectrum00155.asd" 416 0.012
"99976" "Spectrum00155.asd" 417 0.01
"99977" "Spectrum00155.asd" 418 0.012
"99978" "Spectrum00155.asd" 419 0.014
"99979" "Spectrum00155.asd" 420 0.015
"99980" "Spectrum00155.asd" 421 0.015
"99981" "Spectrum00155.asd" 422 0.015
"99982" "Spectrum00155.asd" 423 0.015
"99983" "Spectrum00155.asd" 424 0.015
"99984" "Spectrum00155.asd" 425 0.015
"99985" "Spectrum00155.asd" 426 0.013
"99986" "Spectrum00155.asd" 427 0.012
"99987" "Spectrum00155.asd" 428 0.012
"99988" "Spectrum00155.asd" 429 0.014
"99989" "Spectrum00155.asd" 430 0.015
"99990" "Spectrum00155.asd" 431 0.016
"99991" "Spectrum00155.asd" 432 0.014
"99992" "Spectrum00155.asd" 433 0.013
"99993" "Spectrum00155.asd" 434 0.014
"99994" "Spectrum00155.asd" 435 0.014
"99995" "Spectrum00155.asd" 436 0.012
"99996" "Spectrum00155.asd" 437 0.013
"99997" "Spectrum00155.asd" 438 0.014
"99998" "Spectrum00155.asd" 439 0.013
"99999" "Spectrum00155.asd" 440 0.012
"100000" "Spectrum00155.asd" 441 0.011
"100001" "Spectrum00155.asd" 442 0.012
"100002" "Spectrum00155.asd" 443 0.013
"100003" "Spectrum00155.asd" 444 0.014
"100004" "Spectrum00155.asd" 445 0.014
"100005" "Spectrum00155.asd" 446 0.013
"100006" "Spectrum00155.asd" 447 0.013
"100007" "Spectrum00155.asd" 448 0.013
"100008" "Spectrum00155.asd" 449 0.013
"100009" "Spectrum00155.asd" 450 0.013
"100010" "Spectrum00155.asd" 451 0.012
"100011" "Spectrum00155.asd" 452 0.012
"100012" "Spectrum00155.asd" 453 0.013
"100013" "Spectrum00155.asd" 454 0.014
"100014" "Spectrum00155.asd" 455 0.014
"100015" "Spectrum00155.asd" 456 0.015
"100016" "Spectrum00155.asd" 457 0.015
"100017" "Spectrum00155.asd" 458 0.015
"100018" "Spectrum00155.asd" 459 0.014
"100019" "Spectrum00155.asd" 460 0.012
"100020" "Spectrum00155.asd" 461 0.012
"100021" "Spectrum00155.asd" 462 0.013
"100022" "Spectrum00155.asd" 463 0.014
"100023" "Spectrum00155.asd" 464 0.015
"100024" "Spectrum00155.asd" 465 0.015
"100025" "Spectrum00155.asd" 466 0.014
"100026" "Spectrum00155.asd" 467 0.013
"100027" "Spectrum00155.asd" 468 0.013
"100028" "Spectrum00155.asd" 469 0.013
"100029" "Spectrum00155.asd" 470 0.012
"100030" "Spectrum00155.asd" 471 0.013
"100031" "Spectrum00155.asd" 472 0.014
"100032" "Spectrum00155.asd" 473 0.014
"100033" "Spectrum00155.asd" 474 0.013
"100034" "Spectrum00155.asd" 475 0.013
"100035" "Spectrum00155.asd" 476 0.014
"100036" "Spectrum00155.asd" 477 0.014
"100037" "Spectrum00155.asd" 478 0.013
"100038" "Spectrum00155.asd" 479 0.014
"100039" "Spectrum00155.asd" 480 0.015
"100040" "Spectrum00155.asd" 481 0.014
"100041" "Spectrum00155.asd" 482 0.014
"100042" "Spectrum00155.asd" 483 0.014
"100043" "Spectrum00155.asd" 484 0.015
"100044" "Spectrum00155.asd" 485 0.016
"100045" "Spectrum00155.asd" 486 0.014
"100046" "Spectrum00155.asd" 487 0.013
"100047" "Spectrum00155.asd" 488 0.013
"100048" "Spectrum00155.asd" 489 0.016
"100049" "Spectrum00155.asd" 490 0.016
"100050" "Spectrum00155.asd" 491 0.014
"100051" "Spectrum00155.asd" 492 0.015
"100052" "Spectrum00155.asd" 493 0.016
"100053" "Spectrum00155.asd" 494 0.015
"100054" "Spectrum00155.asd" 495 0.016
"100055" "Spectrum00155.asd" 496 0.016
"100056" "Spectrum00155.asd" 497 0.016
"100057" "Spectrum00155.asd" 498 0.016
"100058" "Spectrum00155.asd" 499 0.016
"100059" "Spectrum00155.asd" 500 0.017
"100060" "Spectrum00155.asd" 501 0.017
"100061" "Spectrum00155.asd" 502 0.017
