"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"102137" "Spectrum00158.asd" 325 0.026
"102138" "Spectrum00158.asd" 326 0.045
"102139" "Spectrum00158.asd" 327 0.042
"102140" "Spectrum00158.asd" 328 0.034
"102141" "Spectrum00158.asd" 329 0.041
"102142" "Spectrum00158.asd" 330 0.043
"102143" "Spectrum00158.asd" 331 0.039
"102144" "Spectrum00158.asd" 332 0.032
"102145" "Spectrum00158.asd" 333 0.028
"102146" "Spectrum00158.asd" 334 0.029
"102147" "Spectrum00158.asd" 335 0.035
"102148" "Spectrum00158.asd" 336 0.039
"102149" "Spectrum00158.asd" 337 0.033
"102150" "Spectrum00158.asd" 338 0.032
"102151" "Spectrum00158.asd" 339 0.038
"102152" "Spectrum00158.asd" 340 0.04
"102153" "Spectrum00158.asd" 341 0.037
"102154" "Spectrum00158.asd" 342 0.031
"102155" "Spectrum00158.asd" 343 0.021
"102156" "Spectrum00158.asd" 344 0.014
"102157" "Spectrum00158.asd" 345 0.034
"102158" "Spectrum00158.asd" 346 0.039
"102159" "Spectrum00158.asd" 347 0.021
"102160" "Spectrum00158.asd" 348 0.027
"102161" "Spectrum00158.asd" 349 0.038
"102162" "Spectrum00158.asd" 350 0.029
"102163" "Spectrum00158.asd" 351 0.022
"102164" "Spectrum00158.asd" 352 0.02
"102165" "Spectrum00158.asd" 353 0.02
"102166" "Spectrum00158.asd" 354 0.026
"102167" "Spectrum00158.asd" 355 0.038
"102168" "Spectrum00158.asd" 356 0.035
"102169" "Spectrum00158.asd" 357 0.023
"102170" "Spectrum00158.asd" 358 0.023
"102171" "Spectrum00158.asd" 359 0.029
"102172" "Spectrum00158.asd" 360 0.034
"102173" "Spectrum00158.asd" 361 0.017
"102174" "Spectrum00158.asd" 362 0.006
"102175" "Spectrum00158.asd" 363 0.022
"102176" "Spectrum00158.asd" 364 0.026
"102177" "Spectrum00158.asd" 365 0.021
"102178" "Spectrum00158.asd" 366 0.023
"102179" "Spectrum00158.asd" 367 0.025
"102180" "Spectrum00158.asd" 368 0.023
"102181" "Spectrum00158.asd" 369 0.02
"102182" "Spectrum00158.asd" 370 0.016
"102183" "Spectrum00158.asd" 371 0.012
"102184" "Spectrum00158.asd" 372 0.011
"102185" "Spectrum00158.asd" 373 0.012
"102186" "Spectrum00158.asd" 374 0.016
"102187" "Spectrum00158.asd" 375 0.02
"102188" "Spectrum00158.asd" 376 0.019
"102189" "Spectrum00158.asd" 377 0.018
"102190" "Spectrum00158.asd" 378 0.016
"102191" "Spectrum00158.asd" 379 0.016
"102192" "Spectrum00158.asd" 380 0.015
"102193" "Spectrum00158.asd" 381 0.012
"102194" "Spectrum00158.asd" 382 0.011
"102195" "Spectrum00158.asd" 383 0.012
"102196" "Spectrum00158.asd" 384 0.016
"102197" "Spectrum00158.asd" 385 0.016
"102198" "Spectrum00158.asd" 386 0.013
"102199" "Spectrum00158.asd" 387 0.014
"102200" "Spectrum00158.asd" 388 0.015
"102201" "Spectrum00158.asd" 389 0.013
"102202" "Spectrum00158.asd" 390 0.014
"102203" "Spectrum00158.asd" 391 0.015
"102204" "Spectrum00158.asd" 392 0.014
"102205" "Spectrum00158.asd" 393 0.015
"102206" "Spectrum00158.asd" 394 0.018
"102207" "Spectrum00158.asd" 395 0.016
"102208" "Spectrum00158.asd" 396 0.013
"102209" "Spectrum00158.asd" 397 0.013
"102210" "Spectrum00158.asd" 398 0.013
"102211" "Spectrum00158.asd" 399 0.014
"102212" "Spectrum00158.asd" 400 0.014
"102213" "Spectrum00158.asd" 401 0.013
"102214" "Spectrum00158.asd" 402 0.012
"102215" "Spectrum00158.asd" 403 0.013
"102216" "Spectrum00158.asd" 404 0.014
"102217" "Spectrum00158.asd" 405 0.012
"102218" "Spectrum00158.asd" 406 0.012
"102219" "Spectrum00158.asd" 407 0.014
"102220" "Spectrum00158.asd" 408 0.01
"102221" "Spectrum00158.asd" 409 0.008
"102222" "Spectrum00158.asd" 410 0.011
"102223" "Spectrum00158.asd" 411 0.012
"102224" "Spectrum00158.asd" 412 0.011
"102225" "Spectrum00158.asd" 413 0.013
"102226" "Spectrum00158.asd" 414 0.014
"102227" "Spectrum00158.asd" 415 0.015
"102228" "Spectrum00158.asd" 416 0.014
"102229" "Spectrum00158.asd" 417 0.014
"102230" "Spectrum00158.asd" 418 0.015
"102231" "Spectrum00158.asd" 419 0.016
"102232" "Spectrum00158.asd" 420 0.016
"102233" "Spectrum00158.asd" 421 0.015
"102234" "Spectrum00158.asd" 422 0.016
"102235" "Spectrum00158.asd" 423 0.018
"102236" "Spectrum00158.asd" 424 0.018
"102237" "Spectrum00158.asd" 425 0.016
"102238" "Spectrum00158.asd" 426 0.016
"102239" "Spectrum00158.asd" 427 0.016
"102240" "Spectrum00158.asd" 428 0.015
"102241" "Spectrum00158.asd" 429 0.015
"102242" "Spectrum00158.asd" 430 0.017
"102243" "Spectrum00158.asd" 431 0.02
"102244" "Spectrum00158.asd" 432 0.018
"102245" "Spectrum00158.asd" 433 0.015
"102246" "Spectrum00158.asd" 434 0.016
"102247" "Spectrum00158.asd" 435 0.017
"102248" "Spectrum00158.asd" 436 0.016
"102249" "Spectrum00158.asd" 437 0.017
"102250" "Spectrum00158.asd" 438 0.018
"102251" "Spectrum00158.asd" 439 0.019
"102252" "Spectrum00158.asd" 440 0.018
"102253" "Spectrum00158.asd" 441 0.016
"102254" "Spectrum00158.asd" 442 0.016
"102255" "Spectrum00158.asd" 443 0.017
"102256" "Spectrum00158.asd" 444 0.018
"102257" "Spectrum00158.asd" 445 0.019
"102258" "Spectrum00158.asd" 446 0.02
"102259" "Spectrum00158.asd" 447 0.018
"102260" "Spectrum00158.asd" 448 0.018
"102261" "Spectrum00158.asd" 449 0.019
"102262" "Spectrum00158.asd" 450 0.018
"102263" "Spectrum00158.asd" 451 0.018
"102264" "Spectrum00158.asd" 452 0.018
"102265" "Spectrum00158.asd" 453 0.018
"102266" "Spectrum00158.asd" 454 0.019
"102267" "Spectrum00158.asd" 455 0.021
"102268" "Spectrum00158.asd" 456 0.021
"102269" "Spectrum00158.asd" 457 0.019
"102270" "Spectrum00158.asd" 458 0.019
"102271" "Spectrum00158.asd" 459 0.02
"102272" "Spectrum00158.asd" 460 0.019
"102273" "Spectrum00158.asd" 461 0.019
"102274" "Spectrum00158.asd" 462 0.019
"102275" "Spectrum00158.asd" 463 0.019
"102276" "Spectrum00158.asd" 464 0.02
"102277" "Spectrum00158.asd" 465 0.021
"102278" "Spectrum00158.asd" 466 0.021
"102279" "Spectrum00158.asd" 467 0.021
"102280" "Spectrum00158.asd" 468 0.021
"102281" "Spectrum00158.asd" 469 0.02
"102282" "Spectrum00158.asd" 470 0.019
"102283" "Spectrum00158.asd" 471 0.02
"102284" "Spectrum00158.asd" 472 0.021
"102285" "Spectrum00158.asd" 473 0.021
"102286" "Spectrum00158.asd" 474 0.021
"102287" "Spectrum00158.asd" 475 0.021
"102288" "Spectrum00158.asd" 476 0.02
"102289" "Spectrum00158.asd" 477 0.02
"102290" "Spectrum00158.asd" 478 0.021
"102291" "Spectrum00158.asd" 479 0.021
"102292" "Spectrum00158.asd" 480 0.022
"102293" "Spectrum00158.asd" 481 0.022
"102294" "Spectrum00158.asd" 482 0.022
"102295" "Spectrum00158.asd" 483 0.023
"102296" "Spectrum00158.asd" 484 0.022
"102297" "Spectrum00158.asd" 485 0.021
"102298" "Spectrum00158.asd" 486 0.022
"102299" "Spectrum00158.asd" 487 0.023
"102300" "Spectrum00158.asd" 488 0.022
"102301" "Spectrum00158.asd" 489 0.023
"102302" "Spectrum00158.asd" 490 0.023
"102303" "Spectrum00158.asd" 491 0.021
"102304" "Spectrum00158.asd" 492 0.022
"102305" "Spectrum00158.asd" 493 0.023
"102306" "Spectrum00158.asd" 494 0.023
"102307" "Spectrum00158.asd" 495 0.024
"102308" "Spectrum00158.asd" 496 0.024
"102309" "Spectrum00158.asd" 497 0.025
"102310" "Spectrum00158.asd" 498 0.026
"102311" "Spectrum00158.asd" 499 0.025
"102312" "Spectrum00158.asd" 500 0.026
"102313" "Spectrum00158.asd" 501 0.026
"102314" "Spectrum00158.asd" 502 0.027
"102315" "Spectrum00158.asd" 503 0.028
"102316" "Spectrum00158.asd" 504 0.029
"102317" "Spectrum00158.asd" 505 0.029
"102318" "Spectrum00158.asd" 506 0.03
"102319" "Spectrum00158.asd" 507 0.032
"102320" "Spectrum00158.asd" 508 0.034
"102321" "Spectrum00158.asd" 509 0.036
"102322" "Spectrum00158.asd" 510 0.038
"102323" "Spectrum00158.asd" 511 0.039
"102324" "Spectrum00158.asd" 512 0.039
"102325" "Spectrum00158.asd" 513 0.04
"102326" "Spectrum00158.asd" 514 0.041
"102327" "Spectrum00158.asd" 515 0.041
"102328" "Spectrum00158.asd" 516 0.043
"102329" "Spectrum00158.asd" 517 0.046
"102330" "Spectrum00158.asd" 518 0.047
"102331" "Spectrum00158.asd" 519 0.048
"102332" "Spectrum00158.asd" 520 0.051
"102333" "Spectrum00158.asd" 521 0.052
"102334" "Spectrum00158.asd" 522 0.053
"102335" "Spectrum00158.asd" 523 0.053
"102336" "Spectrum00158.asd" 524 0.056
"102337" "Spectrum00158.asd" 525 0.059
"102338" "Spectrum00158.asd" 526 0.061
"102339" "Spectrum00158.asd" 527 0.062
"102340" "Spectrum00158.asd" 528 0.063
"102341" "Spectrum00158.asd" 529 0.064
"102342" "Spectrum00158.asd" 530 0.065
"102343" "Spectrum00158.asd" 531 0.066
"102344" "Spectrum00158.asd" 532 0.067
"102345" "Spectrum00158.asd" 533 0.067
"102346" "Spectrum00158.asd" 534 0.07
"102347" "Spectrum00158.asd" 535 0.071
"102348" "Spectrum00158.asd" 536 0.07
"102349" "Spectrum00158.asd" 537 0.071
"102350" "Spectrum00158.asd" 538 0.073
"102351" "Spectrum00158.asd" 539 0.075
"102352" "Spectrum00158.asd" 540 0.074
"102353" "Spectrum00158.asd" 541 0.073
"102354" "Spectrum00158.asd" 542 0.073
"102355" "Spectrum00158.asd" 543 0.075
"102356" "Spectrum00158.asd" 544 0.076
"102357" "Spectrum00158.asd" 545 0.077
"102358" "Spectrum00158.asd" 546 0.077
"102359" "Spectrum00158.asd" 547 0.077
"102360" "Spectrum00158.asd" 548 0.078
"102361" "Spectrum00158.asd" 549 0.079
"102362" "Spectrum00158.asd" 550 0.078
"102363" "Spectrum00158.asd" 551 0.078
"102364" "Spectrum00158.asd" 552 0.079
"102365" "Spectrum00158.asd" 553 0.08
"102366" "Spectrum00158.asd" 554 0.08
"102367" "Spectrum00158.asd" 555 0.08
"102368" "Spectrum00158.asd" 556 0.079
"102369" "Spectrum00158.asd" 557 0.079
"102370" "Spectrum00158.asd" 558 0.079
"102371" "Spectrum00158.asd" 559 0.078
"102372" "Spectrum00158.asd" 560 0.079
"102373" "Spectrum00158.asd" 561 0.079
"102374" "Spectrum00158.asd" 562 0.078
"102375" "Spectrum00158.asd" 563 0.078
"102376" "Spectrum00158.asd" 564 0.077
"102377" "Spectrum00158.asd" 565 0.077
"102378" "Spectrum00158.asd" 566 0.076
"102379" "Spectrum00158.asd" 567 0.074
"102380" "Spectrum00158.asd" 568 0.073
"102381" "Spectrum00158.asd" 569 0.072
"102382" "Spectrum00158.asd" 570 0.073
"102383" "Spectrum00158.asd" 571 0.073
"102384" "Spectrum00158.asd" 572 0.073
"102385" "Spectrum00158.asd" 573 0.071
"102386" "Spectrum00158.asd" 574 0.07
"102387" "Spectrum00158.asd" 575 0.069
"102388" "Spectrum00158.asd" 576 0.067
"102389" "Spectrum00158.asd" 577 0.066
"102390" "Spectrum00158.asd" 578 0.066
"102391" "Spectrum00158.asd" 579 0.067
"102392" "Spectrum00158.asd" 580 0.066
"102393" "Spectrum00158.asd" 581 0.065
"102394" "Spectrum00158.asd" 582 0.064
"102395" "Spectrum00158.asd" 583 0.064
"102396" "Spectrum00158.asd" 584 0.065
"102397" "Spectrum00158.asd" 585 0.065
"102398" "Spectrum00158.asd" 586 0.062
"102399" "Spectrum00158.asd" 587 0.061
"102400" "Spectrum00158.asd" 588 0.063
"102401" "Spectrum00158.asd" 589 0.063
"102402" "Spectrum00158.asd" 590 0.062
"102403" "Spectrum00158.asd" 591 0.063
"102404" "Spectrum00158.asd" 592 0.063
"102405" "Spectrum00158.asd" 593 0.062
"102406" "Spectrum00158.asd" 594 0.062
"102407" "Spectrum00158.asd" 595 0.062
"102408" "Spectrum00158.asd" 596 0.062
"102409" "Spectrum00158.asd" 597 0.062
"102410" "Spectrum00158.asd" 598 0.062
"102411" "Spectrum00158.asd" 599 0.061
"102412" "Spectrum00158.asd" 600 0.061
