"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"75101" "Spectrum00116.asd" 325 0.037
"75102" "Spectrum00116.asd" 326 0.03
"75103" "Spectrum00116.asd" 327 0.028
"75104" "Spectrum00116.asd" 328 0.031
"75105" "Spectrum00116.asd" 329 0.042
"75106" "Spectrum00116.asd" 330 0.044
"75107" "Spectrum00116.asd" 331 0.038
"75108" "Spectrum00116.asd" 332 0.038
"75109" "Spectrum00116.asd" 333 0.038
"75110" "Spectrum00116.asd" 334 0.037
"75111" "Spectrum00116.asd" 335 0.039
"75112" "Spectrum00116.asd" 336 0.044
"75113" "Spectrum00116.asd" 337 0.05
"75114" "Spectrum00116.asd" 338 0.049
"75115" "Spectrum00116.asd" 339 0.04
"75116" "Spectrum00116.asd" 340 0.032
"75117" "Spectrum00116.asd" 341 0.029
"75118" "Spectrum00116.asd" 342 0.032
"75119" "Spectrum00116.asd" 343 0.028
"75120" "Spectrum00116.asd" 344 0.022
"75121" "Spectrum00116.asd" 345 0.034
"75122" "Spectrum00116.asd" 346 0.044
"75123" "Spectrum00116.asd" 347 0.043
"75124" "Spectrum00116.asd" 348 0.046
"75125" "Spectrum00116.asd" 349 0.044
"75126" "Spectrum00116.asd" 350 0.028
"75127" "Spectrum00116.asd" 351 0.023
"75128" "Spectrum00116.asd" 352 0.03
"75129" "Spectrum00116.asd" 353 0.017
"75130" "Spectrum00116.asd" 354 0.019
"75131" "Spectrum00116.asd" 355 0.048
"75132" "Spectrum00116.asd" 356 0.048
"75133" "Spectrum00116.asd" 357 0.029
"75134" "Spectrum00116.asd" 358 0.019
"75135" "Spectrum00116.asd" 359 0.022
"75136" "Spectrum00116.asd" 360 0.032
"75137" "Spectrum00116.asd" 361 0.023
"75138" "Spectrum00116.asd" 362 0.015
"75139" "Spectrum00116.asd" 363 0.024
"75140" "Spectrum00116.asd" 364 0.029
"75141" "Spectrum00116.asd" 365 0.03
"75142" "Spectrum00116.asd" 366 0.029
"75143" "Spectrum00116.asd" 367 0.027
"75144" "Spectrum00116.asd" 368 0.025
"75145" "Spectrum00116.asd" 369 0.023
"75146" "Spectrum00116.asd" 370 0.023
"75147" "Spectrum00116.asd" 371 0.023
"75148" "Spectrum00116.asd" 372 0.02
"75149" "Spectrum00116.asd" 373 0.014
"75150" "Spectrum00116.asd" 374 0.014
"75151" "Spectrum00116.asd" 375 0.02
"75152" "Spectrum00116.asd" 376 0.027
"75153" "Spectrum00116.asd" 377 0.025
"75154" "Spectrum00116.asd" 378 0.019
"75155" "Spectrum00116.asd" 379 0.022
"75156" "Spectrum00116.asd" 380 0.024
"75157" "Spectrum00116.asd" 381 0.023
"75158" "Spectrum00116.asd" 382 0.02
"75159" "Spectrum00116.asd" 383 0.018
"75160" "Spectrum00116.asd" 384 0.021
"75161" "Spectrum00116.asd" 385 0.02
"75162" "Spectrum00116.asd" 386 0.017
"75163" "Spectrum00116.asd" 387 0.021
"75164" "Spectrum00116.asd" 388 0.022
"75165" "Spectrum00116.asd" 389 0.018
"75166" "Spectrum00116.asd" 390 0.021
"75167" "Spectrum00116.asd" 391 0.027
"75168" "Spectrum00116.asd" 392 0.027
"75169" "Spectrum00116.asd" 393 0.025
"75170" "Spectrum00116.asd" 394 0.024
"75171" "Spectrum00116.asd" 395 0.023
"75172" "Spectrum00116.asd" 396 0.023
"75173" "Spectrum00116.asd" 397 0.023
"75174" "Spectrum00116.asd" 398 0.021
"75175" "Spectrum00116.asd" 399 0.02
"75176" "Spectrum00116.asd" 400 0.021
"75177" "Spectrum00116.asd" 401 0.02
"75178" "Spectrum00116.asd" 402 0.019
"75179" "Spectrum00116.asd" 403 0.019
"75180" "Spectrum00116.asd" 404 0.02
"75181" "Spectrum00116.asd" 405 0.02
"75182" "Spectrum00116.asd" 406 0.021
"75183" "Spectrum00116.asd" 407 0.023
"75184" "Spectrum00116.asd" 408 0.02
"75185" "Spectrum00116.asd" 409 0.019
"75186" "Spectrum00116.asd" 410 0.02
"75187" "Spectrum00116.asd" 411 0.02
"75188" "Spectrum00116.asd" 412 0.02
"75189" "Spectrum00116.asd" 413 0.023
"75190" "Spectrum00116.asd" 414 0.025
"75191" "Spectrum00116.asd" 415 0.027
"75192" "Spectrum00116.asd" 416 0.028
"75193" "Spectrum00116.asd" 417 0.026
"75194" "Spectrum00116.asd" 418 0.021
"75195" "Spectrum00116.asd" 419 0.022
"75196" "Spectrum00116.asd" 420 0.026
"75197" "Spectrum00116.asd" 421 0.026
"75198" "Spectrum00116.asd" 422 0.026
"75199" "Spectrum00116.asd" 423 0.029
"75200" "Spectrum00116.asd" 424 0.028
"75201" "Spectrum00116.asd" 425 0.025
"75202" "Spectrum00116.asd" 426 0.024
"75203" "Spectrum00116.asd" 427 0.025
"75204" "Spectrum00116.asd" 428 0.026
"75205" "Spectrum00116.asd" 429 0.027
"75206" "Spectrum00116.asd" 430 0.029
"75207" "Spectrum00116.asd" 431 0.031
"75208" "Spectrum00116.asd" 432 0.03
"75209" "Spectrum00116.asd" 433 0.028
"75210" "Spectrum00116.asd" 434 0.027
"75211" "Spectrum00116.asd" 435 0.027
"75212" "Spectrum00116.asd" 436 0.027
"75213" "Spectrum00116.asd" 437 0.026
"75214" "Spectrum00116.asd" 438 0.026
"75215" "Spectrum00116.asd" 439 0.028
"75216" "Spectrum00116.asd" 440 0.028
"75217" "Spectrum00116.asd" 441 0.028
"75218" "Spectrum00116.asd" 442 0.028
"75219" "Spectrum00116.asd" 443 0.029
"75220" "Spectrum00116.asd" 444 0.03
"75221" "Spectrum00116.asd" 445 0.03
"75222" "Spectrum00116.asd" 446 0.029
"75223" "Spectrum00116.asd" 447 0.029
"75224" "Spectrum00116.asd" 448 0.03
"75225" "Spectrum00116.asd" 449 0.031
"75226" "Spectrum00116.asd" 450 0.03
"75227" "Spectrum00116.asd" 451 0.029
"75228" "Spectrum00116.asd" 452 0.029
"75229" "Spectrum00116.asd" 453 0.03
"75230" "Spectrum00116.asd" 454 0.031
"75231" "Spectrum00116.asd" 455 0.031
"75232" "Spectrum00116.asd" 456 0.032
"75233" "Spectrum00116.asd" 457 0.033
"75234" "Spectrum00116.asd" 458 0.032
"75235" "Spectrum00116.asd" 459 0.031
"75236" "Spectrum00116.asd" 460 0.031
"75237" "Spectrum00116.asd" 461 0.031
"75238" "Spectrum00116.asd" 462 0.032
"75239" "Spectrum00116.asd" 463 0.032
"75240" "Spectrum00116.asd" 464 0.033
"75241" "Spectrum00116.asd" 465 0.033
"75242" "Spectrum00116.asd" 466 0.033
"75243" "Spectrum00116.asd" 467 0.033
"75244" "Spectrum00116.asd" 468 0.033
"75245" "Spectrum00116.asd" 469 0.033
"75246" "Spectrum00116.asd" 470 0.033
"75247" "Spectrum00116.asd" 471 0.033
"75248" "Spectrum00116.asd" 472 0.033
"75249" "Spectrum00116.asd" 473 0.032
"75250" "Spectrum00116.asd" 474 0.032
"75251" "Spectrum00116.asd" 475 0.032
"75252" "Spectrum00116.asd" 476 0.033
"75253" "Spectrum00116.asd" 477 0.033
"75254" "Spectrum00116.asd" 478 0.033
"75255" "Spectrum00116.asd" 479 0.034
"75256" "Spectrum00116.asd" 480 0.034
"75257" "Spectrum00116.asd" 481 0.035
"75258" "Spectrum00116.asd" 482 0.034
"75259" "Spectrum00116.asd" 483 0.033
"75260" "Spectrum00116.asd" 484 0.033
"75261" "Spectrum00116.asd" 485 0.034
"75262" "Spectrum00116.asd" 486 0.035
"75263" "Spectrum00116.asd" 487 0.035
"75264" "Spectrum00116.asd" 488 0.034
"75265" "Spectrum00116.asd" 489 0.036
"75266" "Spectrum00116.asd" 490 0.036
"75267" "Spectrum00116.asd" 491 0.035
"75268" "Spectrum00116.asd" 492 0.035
"75269" "Spectrum00116.asd" 493 0.036
"75270" "Spectrum00116.asd" 494 0.037
