"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"68342" "Spectrum00107.asd" 325 0.033
"68343" "Spectrum00107.asd" 326 0.032
"68344" "Spectrum00107.asd" 327 0.022
"68345" "Spectrum00107.asd" 328 0.013
"68346" "Spectrum00107.asd" 329 0.018
"68347" "Spectrum00107.asd" 330 0.027
"68348" "Spectrum00107.asd" 331 0.034
"68349" "Spectrum00107.asd" 332 0.032
"68350" "Spectrum00107.asd" 333 0.026
"68351" "Spectrum00107.asd" 334 0.023
"68352" "Spectrum00107.asd" 335 0.026
"68353" "Spectrum00107.asd" 336 0.03
"68354" "Spectrum00107.asd" 337 0.028
"68355" "Spectrum00107.asd" 338 0.022
"68356" "Spectrum00107.asd" 339 0.015
"68357" "Spectrum00107.asd" 340 0.013
"68358" "Spectrum00107.asd" 341 0.017
"68359" "Spectrum00107.asd" 342 0.027
"68360" "Spectrum00107.asd" 343 0.029
"68361" "Spectrum00107.asd" 344 0.023
"68362" "Spectrum00107.asd" 345 0.024
"68363" "Spectrum00107.asd" 346 0.02
"68364" "Spectrum00107.asd" 347 0.013
"68365" "Spectrum00107.asd" 348 0.022
"68366" "Spectrum00107.asd" 349 0.03
"68367" "Spectrum00107.asd" 350 0.018
"68368" "Spectrum00107.asd" 351 0.013
"68369" "Spectrum00107.asd" 352 0.018
"68370" "Spectrum00107.asd" 353 0.015
"68371" "Spectrum00107.asd" 354 0.018
"68372" "Spectrum00107.asd" 355 0.03
"68373" "Spectrum00107.asd" 356 0.026
"68374" "Spectrum00107.asd" 357 0.014
"68375" "Spectrum00107.asd" 358 0.018
"68376" "Spectrum00107.asd" 359 0.02
"68377" "Spectrum00107.asd" 360 0.016
"68378" "Spectrum00107.asd" 361 0.013
"68379" "Spectrum00107.asd" 362 0.014
"68380" "Spectrum00107.asd" 363 0.024
"68381" "Spectrum00107.asd" 364 0.025
"68382" "Spectrum00107.asd" 365 0.019
"68383" "Spectrum00107.asd" 366 0.017
"68384" "Spectrum00107.asd" 367 0.017
"68385" "Spectrum00107.asd" 368 0.018
"68386" "Spectrum00107.asd" 369 0.017
"68387" "Spectrum00107.asd" 370 0.015
"68388" "Spectrum00107.asd" 371 0.011
"68389" "Spectrum00107.asd" 372 0.008
"68390" "Spectrum00107.asd" 373 0.007
"68391" "Spectrum00107.asd" 374 0.009
"68392" "Spectrum00107.asd" 375 0.013
"68393" "Spectrum00107.asd" 376 0.017
"68394" "Spectrum00107.asd" 377 0.016
"68395" "Spectrum00107.asd" 378 0.012
"68396" "Spectrum00107.asd" 379 0.014
"68397" "Spectrum00107.asd" 380 0.016
"68398" "Spectrum00107.asd" 381 0.014
"68399" "Spectrum00107.asd" 382 0.012
"68400" "Spectrum00107.asd" 383 0.012
"68401" "Spectrum00107.asd" 384 0.017
"68402" "Spectrum00107.asd" 385 0.017
"68403" "Spectrum00107.asd" 386 0.014
"68404" "Spectrum00107.asd" 387 0.015
"68405" "Spectrum00107.asd" 388 0.016
"68406" "Spectrum00107.asd" 389 0.015
"68407" "Spectrum00107.asd" 390 0.013
"68408" "Spectrum00107.asd" 391 0.013
"68409" "Spectrum00107.asd" 392 0.014
"68410" "Spectrum00107.asd" 393 0.014
"68411" "Spectrum00107.asd" 394 0.013
"68412" "Spectrum00107.asd" 395 0.014
"68413" "Spectrum00107.asd" 396 0.016
"68414" "Spectrum00107.asd" 397 0.015
"68415" "Spectrum00107.asd" 398 0.014
"68416" "Spectrum00107.asd" 399 0.012
"68417" "Spectrum00107.asd" 400 0.013
"68418" "Spectrum00107.asd" 401 0.014
"68419" "Spectrum00107.asd" 402 0.014
"68420" "Spectrum00107.asd" 403 0.014
"68421" "Spectrum00107.asd" 404 0.013
"68422" "Spectrum00107.asd" 405 0.013
