"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"84113" "Spectrum00128.asd" 325 0.052
"84114" "Spectrum00128.asd" 326 0.051
"84115" "Spectrum00128.asd" 327 0.046
"84116" "Spectrum00128.asd" 328 0.043
"84117" "Spectrum00128.asd" 329 0.052
"84118" "Spectrum00128.asd" 330 0.055
"84119" "Spectrum00128.asd" 331 0.049
"84120" "Spectrum00128.asd" 332 0.038
"84121" "Spectrum00128.asd" 333 0.031
"84122" "Spectrum00128.asd" 334 0.035
"84123" "Spectrum00128.asd" 335 0.04
"84124" "Spectrum00128.asd" 336 0.045
"84125" "Spectrum00128.asd" 337 0.045
"84126" "Spectrum00128.asd" 338 0.042
"84127" "Spectrum00128.asd" 339 0.037
"84128" "Spectrum00128.asd" 340 0.038
"84129" "Spectrum00128.asd" 341 0.04
"84130" "Spectrum00128.asd" 342 0.038
"84131" "Spectrum00128.asd" 343 0.035
"84132" "Spectrum00128.asd" 344 0.032
"84133" "Spectrum00128.asd" 345 0.043
"84134" "Spectrum00128.asd" 346 0.053
"84135" "Spectrum00128.asd" 347 0.055
"84136" "Spectrum00128.asd" 348 0.042
"84137" "Spectrum00128.asd" 349 0.028
"84138" "Spectrum00128.asd" 350 0.03
"84139" "Spectrum00128.asd" 351 0.032
"84140" "Spectrum00128.asd" 352 0.033
"84141" "Spectrum00128.asd" 353 0.038
"84142" "Spectrum00128.asd" 354 0.044
"84143" "Spectrum00128.asd" 355 0.048
"84144" "Spectrum00128.asd" 356 0.042
"84145" "Spectrum00128.asd" 357 0.033
"84146" "Spectrum00128.asd" 358 0.03
"84147" "Spectrum00128.asd" 359 0.036
"84148" "Spectrum00128.asd" 360 0.043
"84149" "Spectrum00128.asd" 361 0.034
"84150" "Spectrum00128.asd" 362 0.025
"84151" "Spectrum00128.asd" 363 0.029
"84152" "Spectrum00128.asd" 364 0.033
"84153" "Spectrum00128.asd" 365 0.034
"84154" "Spectrum00128.asd" 366 0.031
"84155" "Spectrum00128.asd" 367 0.029
"84156" "Spectrum00128.asd" 368 0.03
"84157" "Spectrum00128.asd" 369 0.028
