"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"4507" "Spectrum00006.asd" 325 0.017
"4508" "Spectrum00006.asd" 326 0.015
"4509" "Spectrum00006.asd" 327 0.013
"4510" "Spectrum00006.asd" 328 0.014
"4511" "Spectrum00006.asd" 329 0.019
"4512" "Spectrum00006.asd" 330 0.015
"4513" "Spectrum00006.asd" 331 0.006
"4514" "Spectrum00006.asd" 332 0.011
"4515" "Spectrum00006.asd" 333 0.021
"4516" "Spectrum00006.asd" 334 0.027
"4517" "Spectrum00006.asd" 335 0.015
"4518" "Spectrum00006.asd" 336 0.002
"4519" "Spectrum00006.asd" 337 0.019
"4520" "Spectrum00006.asd" 338 0.03
"4521" "Spectrum00006.asd" 339 0.024
"4522" "Spectrum00006.asd" 340 0.016
"4523" "Spectrum00006.asd" 341 0.012
"4524" "Spectrum00006.asd" 342 0.018
"4525" "Spectrum00006.asd" 343 0.017
"4526" "Spectrum00006.asd" 344 0.013
"4527" "Spectrum00006.asd" 345 0.018
"4528" "Spectrum00006.asd" 346 0.02
"4529" "Spectrum00006.asd" 347 0.013
"4530" "Spectrum00006.asd" 348 0.011
"4531" "Spectrum00006.asd" 349 0.011
"4532" "Spectrum00006.asd" 350 0.008
"4533" "Spectrum00006.asd" 351 0.01
"4534" "Spectrum00006.asd" 352 0.016
"4535" "Spectrum00006.asd" 353 0.014
"4536" "Spectrum00006.asd" 354 0.011
"4537" "Spectrum00006.asd" 355 0.008
"4538" "Spectrum00006.asd" 356 0.011
"4539" "Spectrum00006.asd" 357 0.016
"4540" "Spectrum00006.asd" 358 0.018
"4541" "Spectrum00006.asd" 359 0.016
"4542" "Spectrum00006.asd" 360 0.01
"4543" "Spectrum00006.asd" 361 0.008
"4544" "Spectrum00006.asd" 362 0.01
"4545" "Spectrum00006.asd" 363 0.015
"4546" "Spectrum00006.asd" 364 0.015
"4547" "Spectrum00006.asd" 365 0.012
"4548" "Spectrum00006.asd" 366 0.006
"4549" "Spectrum00006.asd" 367 0.006
"4550" "Spectrum00006.asd" 368 0.012
"4551" "Spectrum00006.asd" 369 0.014
"4552" "Spectrum00006.asd" 370 0.015
"4553" "Spectrum00006.asd" 371 0.015
"4554" "Spectrum00006.asd" 372 0.013
"4555" "Spectrum00006.asd" 373 0.012
"4556" "Spectrum00006.asd" 374 0.016
"4557" "Spectrum00006.asd" 375 0.016
"4558" "Spectrum00006.asd" 376 0.01
"4559" "Spectrum00006.asd" 377 0.009
"4560" "Spectrum00006.asd" 378 0.012
"4561" "Spectrum00006.asd" 379 0.014
"4562" "Spectrum00006.asd" 380 0.013
"4563" "Spectrum00006.asd" 381 0.012
"4564" "Spectrum00006.asd" 382 0.015
"4565" "Spectrum00006.asd" 383 0.017
"4566" "Spectrum00006.asd" 384 0.014
"4567" "Spectrum00006.asd" 385 0.012
"4568" "Spectrum00006.asd" 386 0.013
"4569" "Spectrum00006.asd" 387 0.015
"4570" "Spectrum00006.asd" 388 0.016
"4571" "Spectrum00006.asd" 389 0.016
"4572" "Spectrum00006.asd" 390 0.014
"4573" "Spectrum00006.asd" 391 0.014
"4574" "Spectrum00006.asd" 392 0.016
"4575" "Spectrum00006.asd" 393 0.014
"4576" "Spectrum00006.asd" 394 0.01
"4577" "Spectrum00006.asd" 395 0.011
"4578" "Spectrum00006.asd" 396 0.013
"4579" "Spectrum00006.asd" 397 0.014
"4580" "Spectrum00006.asd" 398 0.014
"4581" "Spectrum00006.asd" 399 0.013
"4582" "Spectrum00006.asd" 400 0.015
"4583" "Spectrum00006.asd" 401 0.014
"4584" "Spectrum00006.asd" 402 0.011
"4585" "Spectrum00006.asd" 403 0.014
"4586" "Spectrum00006.asd" 404 0.016
"4587" "Spectrum00006.asd" 405 0.013
"4588" "Spectrum00006.asd" 406 0.013
"4589" "Spectrum00006.asd" 407 0.015
"4590" "Spectrum00006.asd" 408 0.015
"4591" "Spectrum00006.asd" 409 0.015
"4592" "Spectrum00006.asd" 410 0.016
"4593" "Spectrum00006.asd" 411 0.015
"4594" "Spectrum00006.asd" 412 0.015
"4595" "Spectrum00006.asd" 413 0.016
"4596" "Spectrum00006.asd" 414 0.015
"4597" "Spectrum00006.asd" 415 0.013
"4598" "Spectrum00006.asd" 416 0.014
"4599" "Spectrum00006.asd" 417 0.015
"4600" "Spectrum00006.asd" 418 0.018
"4601" "Spectrum00006.asd" 419 0.018
"4602" "Spectrum00006.asd" 420 0.018
"4603" "Spectrum00006.asd" 421 0.018
"4604" "Spectrum00006.asd" 422 0.019
"4605" "Spectrum00006.asd" 423 0.02
"4606" "Spectrum00006.asd" 424 0.019
"4607" "Spectrum00006.asd" 425 0.018
"4608" "Spectrum00006.asd" 426 0.019
"4609" "Spectrum00006.asd" 427 0.019
"4610" "Spectrum00006.asd" 428 0.019
"4611" "Spectrum00006.asd" 429 0.02
"4612" "Spectrum00006.asd" 430 0.02
"4613" "Spectrum00006.asd" 431 0.019
"4614" "Spectrum00006.asd" 432 0.019
"4615" "Spectrum00006.asd" 433 0.02
"4616" "Spectrum00006.asd" 434 0.022
"4617" "Spectrum00006.asd" 435 0.022
"4618" "Spectrum00006.asd" 436 0.021
"4619" "Spectrum00006.asd" 437 0.02
"4620" "Spectrum00006.asd" 438 0.019
"4621" "Spectrum00006.asd" 439 0.02
"4622" "Spectrum00006.asd" 440 0.02
"4623" "Spectrum00006.asd" 441 0.021
"4624" "Spectrum00006.asd" 442 0.021
"4625" "Spectrum00006.asd" 443 0.021
"4626" "Spectrum00006.asd" 444 0.021
"4627" "Spectrum00006.asd" 445 0.02
"4628" "Spectrum00006.asd" 446 0.021
"4629" "Spectrum00006.asd" 447 0.022
"4630" "Spectrum00006.asd" 448 0.022
"4631" "Spectrum00006.asd" 449 0.022
"4632" "Spectrum00006.asd" 450 0.022
"4633" "Spectrum00006.asd" 451 0.022
"4634" "Spectrum00006.asd" 452 0.023
"4635" "Spectrum00006.asd" 453 0.023
"4636" "Spectrum00006.asd" 454 0.022
"4637" "Spectrum00006.asd" 455 0.022
"4638" "Spectrum00006.asd" 456 0.022
"4639" "Spectrum00006.asd" 457 0.024
"4640" "Spectrum00006.asd" 458 0.023
"4641" "Spectrum00006.asd" 459 0.022
"4642" "Spectrum00006.asd" 460 0.022
"4643" "Spectrum00006.asd" 461 0.023
"4644" "Spectrum00006.asd" 462 0.022
"4645" "Spectrum00006.asd" 463 0.023
"4646" "Spectrum00006.asd" 464 0.023
"4647" "Spectrum00006.asd" 465 0.023
"4648" "Spectrum00006.asd" 466 0.023
"4649" "Spectrum00006.asd" 467 0.024
"4650" "Spectrum00006.asd" 468 0.023
"4651" "Spectrum00006.asd" 469 0.023
"4652" "Spectrum00006.asd" 470 0.024
"4653" "Spectrum00006.asd" 471 0.024
"4654" "Spectrum00006.asd" 472 0.024
"4655" "Spectrum00006.asd" 473 0.024
"4656" "Spectrum00006.asd" 474 0.024
"4657" "Spectrum00006.asd" 475 0.024
"4658" "Spectrum00006.asd" 476 0.024
"4659" "Spectrum00006.asd" 477 0.024
"4660" "Spectrum00006.asd" 478 0.024
"4661" "Spectrum00006.asd" 479 0.024
"4662" "Spectrum00006.asd" 480 0.024
"4663" "Spectrum00006.asd" 481 0.025
"4664" "Spectrum00006.asd" 482 0.025
