"SPECTRAL.SIGNATURE" "SPECTRAL" "REFLECTANCE"
"47314" "Spectrum00073.asd" 325 0.029
"47315" "Spectrum00073.asd" 326 0.035
"47316" "Spectrum00073.asd" 327 0.037
"47317" "Spectrum00073.asd" 328 0.036
"47318" "Spectrum00073.asd" 329 0.037
"47319" "Spectrum00073.asd" 330 0.037
"47320" "Spectrum00073.asd" 331 0.034
"47321" "Spectrum00073.asd" 332 0.029
"47322" "Spectrum00073.asd" 333 0.029
"47323" "Spectrum00073.asd" 334 0.042
"47324" "Spectrum00073.asd" 335 0.046
"47325" "Spectrum00073.asd" 336 0.045
"47326" "Spectrum00073.asd" 337 0.047
"47327" "Spectrum00073.asd" 338 0.042
"47328" "Spectrum00073.asd" 339 0.032
"47329" "Spectrum00073.asd" 340 0.031
"47330" "Spectrum00073.asd" 341 0.035
"47331" "Spectrum00073.asd" 342 0.04
"47332" "Spectrum00073.asd" 343 0.035
"47333" "Spectrum00073.asd" 344 0.026
"47334" "Spectrum00073.asd" 345 0.041
"47335" "Spectrum00073.asd" 346 0.043
"47336" "Spectrum00073.asd" 347 0.027
"47337" "Spectrum00073.asd" 348 0.029
"47338" "Spectrum00073.asd" 349 0.038
"47339" "Spectrum00073.asd" 350 0.036
"47340" "Spectrum00073.asd" 351 0.03
"47341" "Spectrum00073.asd" 352 0.024
"47342" "Spectrum00073.asd" 353 0.024
"47343" "Spectrum00073.asd" 354 0.031
"47344" "Spectrum00073.asd" 355 0.043
"47345" "Spectrum00073.asd" 356 0.043
"47346" "Spectrum00073.asd" 357 0.037
"47347" "Spectrum00073.asd" 358 0.037
"47348" "Spectrum00073.asd" 359 0.035
"47349" "Spectrum00073.asd" 360 0.031
"47350" "Spectrum00073.asd" 361 0.027
"47351" "Spectrum00073.asd" 362 0.024
"47352" "Spectrum00073.asd" 363 0.024
"47353" "Spectrum00073.asd" 364 0.029
"47354" "Spectrum00073.asd" 365 0.036
"47355" "Spectrum00073.asd" 366 0.037
"47356" "Spectrum00073.asd" 367 0.034
"47357" "Spectrum00073.asd" 368 0.03
"47358" "Spectrum00073.asd" 369 0.029
"47359" "Spectrum00073.asd" 370 0.028
"47360" "Spectrum00073.asd" 371 0.023
"47361" "Spectrum00073.asd" 372 0.022
"47362" "Spectrum00073.asd" 373 0.025
"47363" "Spectrum00073.asd" 374 0.029
"47364" "Spectrum00073.asd" 375 0.031
"47365" "Spectrum00073.asd" 376 0.028
"47366" "Spectrum00073.asd" 377 0.029
"47367" "Spectrum00073.asd" 378 0.032
"47368" "Spectrum00073.asd" 379 0.031
"47369" "Spectrum00073.asd" 380 0.03
"47370" "Spectrum00073.asd" 381 0.03
"47371" "Spectrum00073.asd" 382 0.027
"47372" "Spectrum00073.asd" 383 0.025
"47373" "Spectrum00073.asd" 384 0.029
"47374" "Spectrum00073.asd" 385 0.03
"47375" "Spectrum00073.asd" 386 0.03
"47376" "Spectrum00073.asd" 387 0.028
"47377" "Spectrum00073.asd" 388 0.028
"47378" "Spectrum00073.asd" 389 0.03
"47379" "Spectrum00073.asd" 390 0.031
"47380" "Spectrum00073.asd" 391 0.031
"47381" "Spectrum00073.asd" 392 0.029
"47382" "Spectrum00073.asd" 393 0.031
"47383" "Spectrum00073.asd" 394 0.034
"47384" "Spectrum00073.asd" 395 0.031
"47385" "Spectrum00073.asd" 396 0.029
"47386" "Spectrum00073.asd" 397 0.031
"47387" "Spectrum00073.asd" 398 0.032
"47388" "Spectrum00073.asd" 399 0.031
"47389" "Spectrum00073.asd" 400 0.031
"47390" "Spectrum00073.asd" 401 0.031
"47391" "Spectrum00073.asd" 402 0.03
"47392" "Spectrum00073.asd" 403 0.03
"47393" "Spectrum00073.asd" 404 0.029
"47394" "Spectrum00073.asd" 405 0.027
"47395" "Spectrum00073.asd" 406 0.029
"47396" "Spectrum00073.asd" 407 0.033
"47397" "Spectrum00073.asd" 408 0.031
"47398" "Spectrum00073.asd" 409 0.029
"47399" "Spectrum00073.asd" 410 0.029
"47400" "Spectrum00073.asd" 411 0.031
"47401" "Spectrum00073.asd" 412 0.033
"47402" "Spectrum00073.asd" 413 0.035
"47403" "Spectrum00073.asd" 414 0.035
"47404" "Spectrum00073.asd" 415 0.034
"47405" "Spectrum00073.asd" 416 0.037
"47406" "Spectrum00073.asd" 417 0.038
"47407" "Spectrum00073.asd" 418 0.032
"47408" "Spectrum00073.asd" 419 0.033
"47409" "Spectrum00073.asd" 420 0.039
"47410" "Spectrum00073.asd" 421 0.038
"47411" "Spectrum00073.asd" 422 0.037
"47412" "Spectrum00073.asd" 423 0.039
"47413" "Spectrum00073.asd" 424 0.038
"47414" "Spectrum00073.asd" 425 0.037
"47415" "Spectrum00073.asd" 426 0.039
"47416" "Spectrum00073.asd" 427 0.037
"47417" "Spectrum00073.asd" 428 0.033
"47418" "Spectrum00073.asd" 429 0.032
"47419" "Spectrum00073.asd" 430 0.035
"47420" "Spectrum00073.asd" 431 0.039
"47421" "Spectrum00073.asd" 432 0.039
"47422" "Spectrum00073.asd" 433 0.038
"47423" "Spectrum00073.asd" 434 0.039
"47424" "Spectrum00073.asd" 435 0.038
"47425" "Spectrum00073.asd" 436 0.037
"47426" "Spectrum00073.asd" 437 0.038
"47427" "Spectrum00073.asd" 438 0.039
"47428" "Spectrum00073.asd" 439 0.04
"47429" "Spectrum00073.asd" 440 0.04
"47430" "Spectrum00073.asd" 441 0.038
"47431" "Spectrum00073.asd" 442 0.039
"47432" "Spectrum00073.asd" 443 0.041
"47433" "Spectrum00073.asd" 444 0.041
"47434" "Spectrum00073.asd" 445 0.041
"47435" "Spectrum00073.asd" 446 0.041
"47436" "Spectrum00073.asd" 447 0.041
"47437" "Spectrum00073.asd" 448 0.042
"47438" "Spectrum00073.asd" 449 0.042
"47439" "Spectrum00073.asd" 450 0.042
"47440" "Spectrum00073.asd" 451 0.041
"47441" "Spectrum00073.asd" 452 0.042
"47442" "Spectrum00073.asd" 453 0.042
"47443" "Spectrum00073.asd" 454 0.043
"47444" "Spectrum00073.asd" 455 0.045
"47445" "Spectrum00073.asd" 456 0.045
"47446" "Spectrum00073.asd" 457 0.044
"47447" "Spectrum00073.asd" 458 0.043
"47448" "Spectrum00073.asd" 459 0.043
"47449" "Spectrum00073.asd" 460 0.043
"47450" "Spectrum00073.asd" 461 0.043
"47451" "Spectrum00073.asd" 462 0.043
"47452" "Spectrum00073.asd" 463 0.043
"47453" "Spectrum00073.asd" 464 0.044
"47454" "Spectrum00073.asd" 465 0.046
"47455" "Spectrum00073.asd" 466 0.046
"47456" "Spectrum00073.asd" 467 0.044
"47457" "Spectrum00073.asd" 468 0.044
"47458" "Spectrum00073.asd" 469 0.045
"47459" "Spectrum00073.asd" 470 0.045
"47460" "Spectrum00073.asd" 471 0.046
"47461" "Spectrum00073.asd" 472 0.046
"47462" "Spectrum00073.asd" 473 0.045
"47463" "Spectrum00073.asd" 474 0.045
"47464" "Spectrum00073.asd" 475 0.046
"47465" "Spectrum00073.asd" 476 0.046
"47466" "Spectrum00073.asd" 477 0.047
"47467" "Spectrum00073.asd" 478 0.046
"47468" "Spectrum00073.asd" 479 0.045
"47469" "Spectrum00073.asd" 480 0.045
"47470" "Spectrum00073.asd" 481 0.046
"47471" "Spectrum00073.asd" 482 0.047
"47472" "Spectrum00073.asd" 483 0.047
"47473" "Spectrum00073.asd" 484 0.048
"47474" "Spectrum00073.asd" 485 0.048
"47475" "Spectrum00073.asd" 486 0.048
"47476" "Spectrum00073.asd" 487 0.047
"47477" "Spectrum00073.asd" 488 0.048
"47478" "Spectrum00073.asd" 489 0.049
"47479" "Spectrum00073.asd" 490 0.048
"47480" "Spectrum00073.asd" 491 0.047
"47481" "Spectrum00073.asd" 492 0.048
"47482" "Spectrum00073.asd" 493 0.05
"47483" "Spectrum00073.asd" 494 0.049
"47484" "Spectrum00073.asd" 495 0.049
"47485" "Spectrum00073.asd" 496 0.05
"47486" "Spectrum00073.asd" 497 0.051
"47487" "Spectrum00073.asd" 498 0.05
"47488" "Spectrum00073.asd" 499 0.048
"47489" "Spectrum00073.asd" 500 0.049
"47490" "Spectrum00073.asd" 501 0.051
"47491" "Spectrum00073.asd" 502 0.053
"47492" "Spectrum00073.asd" 503 0.054
"47493" "Spectrum00073.asd" 504 0.055
"47494" "Spectrum00073.asd" 505 0.055
"47495" "Spectrum00073.asd" 506 0.056
"47496" "Spectrum00073.asd" 507 0.059
"47497" "Spectrum00073.asd" 508 0.06
"47498" "Spectrum00073.asd" 509 0.061
"47499" "Spectrum00073.asd" 510 0.061
"47500" "Spectrum00073.asd" 511 0.061
"47501" "Spectrum00073.asd" 512 0.062
"47502" "Spectrum00073.asd" 513 0.064
"47503" "Spectrum00073.asd" 514 0.066
"47504" "Spectrum00073.asd" 515 0.066
"47505" "Spectrum00073.asd" 516 0.068
"47506" "Spectrum00073.asd" 517 0.072
"47507" "Spectrum00073.asd" 518 0.074
"47508" "Spectrum00073.asd" 519 0.074
"47509" "Spectrum00073.asd" 520 0.075
"47510" "Spectrum00073.asd" 521 0.078
"47511" "Spectrum00073.asd" 522 0.081
"47512" "Spectrum00073.asd" 523 0.081
"47513" "Spectrum00073.asd" 524 0.082
"47514" "Spectrum00073.asd" 525 0.085
"47515" "Spectrum00073.asd" 526 0.087
"47516" "Spectrum00073.asd" 527 0.089
"47517" "Spectrum00073.asd" 528 0.091
"47518" "Spectrum00073.asd" 529 0.092
"47519" "Spectrum00073.asd" 530 0.092
"47520" "Spectrum00073.asd" 531 0.094
"47521" "Spectrum00073.asd" 532 0.095
"47522" "Spectrum00073.asd" 533 0.097
"47523" "Spectrum00073.asd" 534 0.098
"47524" "Spectrum00073.asd" 535 0.099
"47525" "Spectrum00073.asd" 536 0.098
"47526" "Spectrum00073.asd" 537 0.1
"47527" "Spectrum00073.asd" 538 0.103
"47528" "Spectrum00073.asd" 539 0.103
"47529" "Spectrum00073.asd" 540 0.103
"47530" "Spectrum00073.asd" 541 0.103
"47531" "Spectrum00073.asd" 542 0.104
"47532" "Spectrum00073.asd" 543 0.104
"47533" "Spectrum00073.asd" 544 0.104
"47534" "Spectrum00073.asd" 545 0.105
"47535" "Spectrum00073.asd" 546 0.106
"47536" "Spectrum00073.asd" 547 0.107
"47537" "Spectrum00073.asd" 548 0.108
"47538" "Spectrum00073.asd" 549 0.109
"47539" "Spectrum00073.asd" 550 0.109
"47540" "Spectrum00073.asd" 551 0.109
